orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Ohio Public Employees Retirement System,Unknown,"Brokerage, IRA, 401k",65002,150000,0,Y,,
"",Ohio Police & Fire Pension Fund,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"","Home/Barberton, OH",Real Estate,,50001,100000,0,Y,,
"",US Bank Accounts,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Janus Twenty Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Growth Company Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Firefighters Community Credit Union/CD,Unknown,Cash/Money Market/Savings/Checking,3003,45000,0,Y,,
"",Vanguard International Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Capital Opportunity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard 500 Index,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
D000029446,Tidewater Inc,Oil & Gas,,1001,15000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MFS Utilities Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Small Co Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Franklin Templeton MF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",FPA Capital,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fire Fighters Community Credit Union M,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Dodge & Cox Balanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000033211,Dodge & Cox,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
"",Diebold Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",AllianceBernstein Roth IRA,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
