orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Westan Insurance Group,Insurance,,1000001,5000000,0,Y,,
"",Tanner Farms,Crop Production,,1000001,5000000,0,Y,,
"",Federal Home Loan Bank Bond,Real Estate,,30002,100000,0,Y,,
"",CA BDY Mutual Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
D000000163,Freddie Mac Bond,Real Estate,,66323,66323,0,Y,Y,
"",AllianceBernstein Growth & Income Fund,Unknown,Mutual Fund,54387,54387,0,Y,,
"",Corrections Corp of America,Misc Business,,15002,51000,0,Y,,
"",Westan Insurance/Promissory Note,Unknown,Note/Note Receivable,15001,50000,0,Y,,
"",Tennessee Energy Acquisition Corp Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Portis Family Estate Family Farm,Crop Production,,15001,50000,0,Y,,
"",Motorola Inc,Telecom Svcs,,15001,50000,0,Y,,
"",MFS Massachusetts Investors Trust,Unknown,Mutual Fund,15001,50000,0,Y,,
"","Memphis, TN Bond",Unknown,Government Bond,15001,50000,0,Y,,
D000059111,Commercial Bank,Commercial Banks,Unknown,15001,50000,0,Y,,
"",American Funds Small Cap World Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds New Perspective Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Capital World G/I Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Massachusetts Investors Trust,Unknown,Unknown,49301,49301,0,Y,,
"",Davis New York Venture Fund,Unknown,Mutual Fund,14922,28921,0,Y,,
"",Tennessee ACQ Crp Gas Supply Rev B Ambac,Unknown,Government Bond,25369,25369,0,Y,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,24657,24657,0,Y,,
"","Memphis, TN General Improvement B/E Bond",Unknown,Government Bond,24442,24442,0,Y,,
"",Smallcap World Fund,Unknown,Mutual Fund,23787,23787,0,Y,,
"",New Perspective Fund,Unknown,Mutual Fund,19999,19999,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,4723,19721,0,Y,Y,Y
"",HealthStream Inc,Education,,5326,19325,0,Y,,
"",BlackRock Money Market,Unknown,Cash/Money Market/Savings/Checking,2592,16591,0,Y,,
"",Tennessee Housing Revenue Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",PIMCO Commodity RealReturn Strategy Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000200,PepsiCo Inc,Food & Beverage,,1001,15000,0,Y,Y,
D000022110,Medtronic Inc,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
"",Meager Means Investment Club,Unknown,Mutual Fund,1001,15000,0,Y,,
"","Marion County, TN School Bond",Unknown,Government Bond,1001,15000,0,Y,,
D000033813,Freescale Semiconductor,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000212,Coca-Cola Co,Food & Beverage,,1001,15000,0,Y,Y,Y
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",American Funds New World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Capital Income Builder,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds AMCAP Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000023834,Alcatel-Lucent,Telecom Svcs,,1001,15000,0,Y,Y,
"",Tennessee Housing Rev Develpmt Agency Am,Unknown,Government Bond,14956,14956,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,14536,14536,0,Y,,
"","Marion County, TN School MBIA B/E Bond",Unknown,Government Bond,10169,10169,0,Y,,
"",AmCap Fund,Unknown,,7919,7919,0,Y,,
"",New World Fund,Unknown,Mutual Fund,5622,5622,0,Y,,
"",PIMCO Pac Invt Mgmt Ser Commodity Re,Unknown,Mutual Fund,4954,4954,0,Y,,
"",Agere Systems,Electronics Mfg/Eqp,,2,2000,0,Y,,
"",Munder Net Classic,Unknown,Mutual Fund,1,1000,0,Y,,
D000024209,Avaya Inc,Telecom Svcs,,1,1000,0,Y,Y,
