orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Templeton Global Bond Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Calvert World Values International Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Calvert Moderate Allocation Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Calvert Large Cap Growth Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Oppenheimer International Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000036243,Nordstrom Inc,Retail Sales,,15001,50000,0,Y,,
"",Columbia Mid Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Cash IRA Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Calvert Capital Accumulation Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000031718,Autodesk Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,Y
D000021754,Apple Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",American Funds Growth Fund of America,Misc Finance,Mutual Fund,15001,50000,0,Y,,
"",529 Washington Mutual Inv Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000030322,Tellabs Inc,Telecom Svcs,,1001,15000,0,Y,,
"",Fair Isaac Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Calvert Social Investment Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000076,AT&T Inc,Telephone Utilities,,1001,15000,0,Y,Y,
D000019838,Agilent Technologies,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",529 Putnam College Adr Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Verigy Ltd,Unknown,,1,1000,0,Y,,
