orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",UPMC Retirement Plan,Unknown,"Brokerage, IRA, 401k",100001,250000,0,Y,,
"",Vanguard Wellington Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Paragon Life Cash Value,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
"",T Rowe Price Personal Strategy Growth,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Mid Cap Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Blue Chip Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Artisan Mid Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000128,Walt Disney Co,TV/Movies/Music,,1001,15000,0,Y,Y,
D000037610,Sirius XM Radio,TV/Movies/Music,,1001,15000,0,Y,Y,
"",Janus Balance Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Baron Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000031610,Ariba Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,,Y
D000022724,American Funds,Securities/Invest,Unknown,1001,15000,0,Y,,
