orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",TD Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,N,,
"",Mass Mutual whole life insurance policy,Unknown,Insurance policies & Annuities,6006,90000,0,N,,
"",Wilmington Savings Fund Society/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,N,,
"",State of Delaware Deferred Comp Fidelity,Unknown,"Brokerage, IRA, 401k",15001,50000,0,N,,
"",DE State Pension Defined Benefit Plan,Unknown,"Brokerage, IRA, 401k",15001,50000,0,N,,
"",Wilmington Trust/Checking,Unknown,Cash/Money Market/Savings/Checking,3003,45000,0,N,,
"",SunTrust Banks/Checking,Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,N,,
"",Wilmington Savings Fund Society/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",US Senate Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",SBL Small Cap Value,Unknown,Mutual Fund,1001,15000,0,N,,
"",SBL Large Cap Value,Unknown,Mutual Fund,1001,15000,0,N,,
"",SBL All Cap Value,Unknown,Mutual Fund,1001,15000,0,N,,
"",Rydex VT Essential Portfolio Moderate,Unknown,Mutual Fund,1001,15000,0,N,,
"",New Castle County Schools Employee FCU,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",MFS Vit Utilities Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",MFS Vit Research International,Unknown,Mutual Fund,1001,15000,0,N,,
"",Janus Aspen Mid Cap Growth,Unknown,Mutual Fund,1001,15000,0,N,,
"",Janus Aspen Large Cap Growth,Unknown,Mutual Fund,1001,15000,0,N,,
"",Alpha Opportunity,Unknown,Mutual Fund,1001,15000,0,N,,
"",AIM VI International Growth,Unknown,Mutual Fund,1001,15000,0,N,,
