orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000044955,Knights of Columbus,Clergy/Religious,Unknown,15001,50000,0,T,Y,
"",PIMCO RealReturn Fund,Unknown,Mutual Fund,2002,30000,0,T,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,2002,30000,0,T,,
"",Vanguard International Growth Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Vanguard Institutional Index,Unknown,Mutual Fund,1001,15000,0,T,,
"",Templeton Foreign Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Lord Abbett Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Legg Mason Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Janus Twenty Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",GE Strategic Investment,Unknown,,1001,15000,0,T,,
"",Franklin Rising Dividend Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",FPA Capital Fund,Unknown,,1001,15000,0,T,,
"",Fidelity New Insights Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Fidelity Growth Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Fidelity Contrafund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Education Scholars Choice Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",Dodge & Cox Balanced Stock Fund,Unknown,Mutual Fund,1001,15000,0,T,,
D000033211,Dodge & Cox,Securities/Invest,Mutual Fund,1001,15000,0,T,,
"",Davis New York Venture Fund,Securities/Invest,Mutual Fund,1001,15000,0,T,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,1001,15000,0,T,,
