orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",TIAA-CREF Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,N,,
"",JPMorgan Bank/CD,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,N,,
"",American General Privledge Assets,Unknown,,100001,250000,0,N,,
"",American General Life,Unknown,,100001,250000,0,N,,
"",SunAmerica Life Insurance,Insurance,,67004,180000,0,N,,
"",Kolmar Equities,Unknown,,50001,100000,0,N,,
"",JPMorgan Checking,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,N,,
"",Inland Real Estate Corp,Unknown,,50001,100000,0,N,,
"",TIAA-Cref Bond,Unknown,Mutual Fund,15001,50000,0,N,,
"",American General Annuity,Unknown,Insurance policies & Annuities,15001,50000,0,N,,
"",Bright Star Fund Advisor Age Based,Unknown,Mutual Fund,2002,30000,0,N,,
"",Seaway Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",Seaway Bank/CD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",PIMCO Corp Income,Unknown,Mutual Fund,1001,15000,0,N,,
D000000373,McDonald's Corp,Food & Beverage,,1001,15000,0,N,Y,
D000044925,Inland Real Estate Group,Real Estate,,1001,15000,0,N,,
D000000081,United Parcel Service,Air Transport,,0,1000,0,N,Y,
D000000094,Time Warner,TV/Movies/Music,,0,1000,0,N,Y,
D000029280,Sun Microsystems,Electronics Mfg/Eqp,,0,1000,0,N,Y,
"",Roland W Burris Enterprises,Unknown,,0,1000,0,N,,
"",PIMCO High Income Fund,Unknown,Mutual Fund,0,1000,0,N,,
D000000182,Ford Motor Co,Automotive,,0,1000,0,N,Y,
"",Burris & Lebed Consulting,Unknown,,0,1000,0,N,,
"",Blackrock Global Fund,Unknown,Mutual Fund,0,1000,0,N,,
