orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Goldman Sachs Var Stk/Partnerships/Funds,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",6000002,30000000,0,Y,,
"",Goldman Sachs Various Stocks & Funds,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",ACD Holdings,Real Estate,,1000001,5000000,0,Y,,
"","18801 Beach Blvd/Huntington Beach, CA",Real Estate,,1000001,5000000,0,Y,,
"","1380 Auto Mall Drive/Santa Ana, CA",Real Estate,,1000001,5000000,0,Y,,
"","1330 Auto Mall Drive/Santa Ana, CA",Real Estate,,1000001,5000000,0,Y,,
"","1300 Auto Mall Drive/Santa Ana, CA",Real Estate,,1000001,5000000,0,Y,,
"","11528 Martens River Circle/Fountain Valley, CA",Real Estate,,1000001,5000000,0,Y,,
"",iShares MSCI Japan Index,Misc Finance,Mutual Fund,266003,565000,0,Y,,
"",Goldman Sachs Small Cap Value Fund,Unknown,Mutual Fund,200002,500000,0,Y,,
"",Goldman Sachs Mid Cap Value Fund,Unknown,Mutual Fund,200002,500000,0,Y,,
"",GMAC Demand Notes,Unknown,,250001,500000,0,Y,,
"",Vanguard Group Mutual Fund,Unknown,Mutual Fund,150002,350000,0,Y,,
"",AG Edwards & Sons Mutual Fund,Unknown,Mutual Fund,115002,300000,0,Y,,
D000019743,Wells Fargo Bank Account,Commercial Banks,Cash/Money Market/Savings/Checking,100001,250000,0,Y,Y,Y
"","New Haven, CA Unif School District Bonds",Unknown,Government Bond,100001,250000,0,Y,,
"",Goldman Sachs High Yield Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Goldman Sachs Growth Opportunities Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Goldman Sachs Capital Growth Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Fidelity Investments Mutual Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Evergreen Investments Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Columbia Cash Reserves Daily,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Scudder Investments Fund,Unknown,Mutual Fund,65002,150000,0,Y,,
"",Wells Fargo Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Olson Urban Housing,Unknown,,50001,100000,0,Y,,
D000042332,Nestle SA,Food & Beverage,,50001,100000,0,Y,Y,
"",Bank of America/Savings,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",iShares MSCI United Kingdom Index,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Bear Stearns Mutual Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Bank of America/Checking,Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,Y,,
"",UBS Jersey Bonds,Unknown,Government Bond,15001,50000,0,Y,,
"",Landwirtschaftiche Rentenbank,Commercial Banks,,15001,50000,0,Y,,
"",Italy EMTN Bonds,Unknown,Government Bond,15001,50000,0,Y,,
"",iShares MSCI Switzerland Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares MSCI EMU Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",ING Cash Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Europaische Investitions Bank EMTN,Commercial Banks,,15001,50000,0,Y,,
"",California State M-Raes,Unknown,Mutual Fund,15001,50000,0,Y,,
"",California State Eagles II Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",American Century Heritage Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Adecco Financial Services,Misc Finance,,15001,50000,0,Y,,
"",3848 Mentone Partners,Real Estate,,15001,50000,0,Y,,
"",Deutsche Bank,Commercial Banks,,2002,30000,0,Y,,
D000022332,Zurich Financial Services,Insurance,,1001,15000,0,Y,Y,Y
"",UBS Current Account/USD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000020995,UBS Ag,Securities/Invest,,1001,15000,0,Y,Y,Y
D000064283,Total SA,Oil & Gas,,1001,15000,0,Y,,
"",Telefonica SA,Unknown,,1001,15000,0,Y,,
"",Swatch Group,Misc Mfg/Distrib,,1001,15000,0,Y,,
"",Schneider Electric,Building Materials,,1001,15000,0,Y,,
"",Sanwa Bank,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000215,Sanofi,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000042474,Roche Holdings,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",Phillips Electronics,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",Northern Border Partners,Unknown,,1001,15000,0,Y,,
"",Nokia Corp,Telecom Svcs,,1001,15000,0,Y,,
D000042696,Krispy Kreme Doughnuts,Food Process/Sales,,1001,15000,0,Y,,
D000022042,ING Group,Insurance,,1001,15000,0,Y,Y,
"",Holen Ltd,Unknown,,1001,15000,0,Y,,
"",Goldman Sachs Instl Assets Fed Portfolio,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Exchange National Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000066818,Eni Spa,Misc Energy,,1001,15000,0,Y,,
"",E.On AG,Electric Utilities,,1001,15000,0,Y,,
"",Commerce Bankshares,Commercial Banks,,1001,15000,0,Y,,
"",Campbell/Mcnee Family Farm LLC,Crop Production,,1001,15000,0,Y,,
"",California Public Works Lease Rev Bond,Unknown,Government Bond,1001,15000,0,Y,,
D000042363,Bayer AG,Chemicals,,1001,15000,0,Y,Y,
"",Banco Santander Central Hispano,Commercial Banks,,1001,15000,0,Y,,
D000031773,Baker Hughes Inc,Oil & Gas,,1001,15000,0,Y,Y,
"",Allianz AG,Insurance,,1001,15000,0,Y,,
"",UBS Current Account/EUR,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",UBS Current Account/CHF,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
