orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Residence,Real Estate,,500001,1000000,0,Y,,
"",US Senate Federal Credit Union Accounts,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
D000019743,Wells Fargo,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,Y,Y
"",Merrill Lynch Cash/Money Accounts,Unknown,Cash/Money Market/Savings/Checking,15313,15313,0,Y,,
"",Ranch Land/359 acres,Real Estate,,1001,15000,0,Y,,
"",Public Employee Retirement System of Idaho,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,9315,9315,0,Y,Y,
"",Riversource Low Duration Bond Fund,Unknown,Mutual Fund,6299,6299,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,5688,5688,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,5652,5652,0,Y,,
"",Dollar Tree Inc,Retail Sales,,5402,5402,0,Y,,
"",Calamos Growth & Income Fund,Unknown,Mutual Fund,5242,5242,0,Y,,
D000026493,HMS Holdings,Business Services,,5180,5180,0,Y,Y,
D000026475,Hexcel Corp,Misc Mfg/Distrib,,5156,5156,0,Y,Y,
"",TAL International Group,Unknown,,5009,5009,0,Y,,
"",Ensco Plc,Oil & Gas,,4879,4879,0,Y,,
D000065629,Concho Resources,Oil & Gas,,4875,4875,0,Y,,
D000064935,National Oilwell Varco,Oil & Gas,,3535,4535,0,Y,Y,
"",First Trust Consumer Staples Alpha,Unknown,Mutual Fund,4517,4517,0,Y,,
D000029955,YUM! Brands,Food & Beverage,,4484,4484,0,Y,Y,
"",DaVita Inc,Health Services,,3866,3866,0,Y,,
D000000408,Deere & Co,Agricultural Svcs,,3712,3712,0,Y,Y,
"",Netgear Inc,Unknown,,3457,3457,0,Y,,
D000000373,McDonald's Corp,Food & Beverage,,3310,3310,0,Y,Y,
"","Eaton Vance Glbl Macro, mutual fund, EIG",Unknown,Mutual Fund,3289,3289,0,Y,,
D000026667,Intuit Inc,Electronics Mfg/Eqp,,3207,3207,0,Y,Y,
D000000804,Intel Corp,Electronics Mfg/Eqp,,3201,3201,0,Y,Y,
"",SPDR Gold Trust ETF,Mining,,3039,3039,0,Y,,
D000027765,Mylan Inc,Pharm/Health Prod,,2789,2789,0,Y,Y,
D000032432,Celgene Corp,Pharm/Health Prod,,2704,2704,0,Y,Y,
D000000422,Oracle Corp,Electronics Mfg/Eqp,,2616,2616,0,Y,Y,
D000025492,Diamond Foods,Crop Production,,2613,2613,0,Y,,
D000067819,Sinopec Corp,Oil & Gas,,2521,2521,0,Y,,
"",Tortoise Energy,Misc Energy,,2399,2399,0,Y,,
D000000071,Citigroup Inc,Commercial Banks,,2315,2315,0,Y,Y,
D000030824,VF Corp,Misc Mfg/Distrib,,2285,2285,0,Y,Y,
"",CF Industries Holdings,Unknown,,2174,2174,0,Y,,
"",Western Digital Corp,Unknown,,0,1000,0,Y,,
"",Veeco Instruments,Electronics Mfg/Eqp,,0,1000,0,Y,,
D000000118,Union Pacific Corp,Railroads,,0,1000,0,Y,Y,
"","TRW Automotive Holdgs Crp, TRW, sold",Unknown,,0,1000,0,Y,,
"",Spreadtrum Communications,Unknown,,0,1000,0,Y,,
"",Silver Wheaton Corp,Mining,,0,1000,0,Y,,
D000036624,Perrigo Co,Pharm/Health Prod,,0,1000,0,Y,Y,
"",Novo Nordisk A/S,Unknown,,0,1000,0,Y,,
D000023178,Mosaic Co,Agricultural Svcs,,0,1000,0,Y,Y,
D000045998,Magna International,Automotive,,0,1000,0,Y,,
"",IPG Photonics Corp,Unknown,,0,1000,0,Y,,
D000000334,Honeywell International,Misc Mfg/Distrib,,0,1000,0,Y,Y,
D000000716,Hewlett-Packard,Electronics Mfg/Eqp,,0,1000,0,Y,Y,
D000064419,Frontier Oil,Oil & Gas,,0,1000,0,Y,,
D000000182,Ford Motor Co,Automotive,,0,1000,0,Y,Y,Y
D000021977,Express Scripts,Health Services,,0,1000,0,Y,Y,
D000019828,Emerson Electric,Misc Mfg/Distrib,,0,1000,0,Y,Y,
D000000744,Eastman Chemical,Chemicals,,0,1000,0,Y,Y,
D000000148,CSX Corp,Railroads,,0,1000,0,Y,Y,
D000044577,Core Laboratories,Oil & Gas,,0,1000,0,Y,,
D000024873,Cliffs Natural Resources,Mining,,0,1000,0,Y,Y,
"",Cabot Oil & Gas,Oil & Gas,,0,1000,0,Y,,
D000032139,Broadcom Corp,Electronics Mfg/Eqp,,0,1000,0,Y,Y,
D000031773,Baker Hughes Inc,Oil & Gas,,0,1000,0,Y,,
D000024059,Amerigroup Corp,Health Services,Mutual Fund,0,1000,0,Y,,
"",Altra Holdings,Unknown,,0,1000,0,Y,,
