orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Fidelity Asset Manager Growth Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",AIM Constellation Fund,Unknown,Mutual Fund,16003,66000,0,Y,,
"",Fidelity Growth & Income Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Ner Ber Genesis Fund 457b,Unknown,Mutual Fund,15001,50000,0,Y,,
"",JPMorgan Mid Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Gartmore Mid Cap Market Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Gartmore Int Index Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Capital Guardian Income & Value,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
"",American Funds Investment Co of America,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Putnam Voyager Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000028128,Old National Bank in Evansville,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",First Federal Savings Bank Accounts,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Fidelity Equity Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Blue Chip Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000166,Eli Lilly & Co,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000071,Citigroup Inc,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,Y,Y
"",Centurion Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000091,BP,Oil & Gas,,1001,15000,0,Y,Y,
"",American Funds Investment Co of America,Unknown,,1001,15000,0,Y,,
"",Hilliard Lyons Goverment Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Gartmore Nationwide Fund,Unknown,Mutual Fund,1,1000,0,Y,,
"",Evansville Teachers FCU Accounts,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
D000023834,Alcatel-Lucent,Telecom Svcs,,1,1000,0,Y,Y,
