orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Office Building/Chesapeake,Real Estate,,1000001,5000000,0,Y,,
"","Vacant Lot/Dare Co, NC",Real Estate,,100001,250000,0,Y,,
"","Vacant Land/Chesapeake, VA",Real Estate,,100001,250000,0,Y,,
"",Rental home,Real Estate,,100001,250000,0,Y,,
"",Virginia Retirement System,Insurance,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",BB&T Bank Accounts,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Bank of America/Account,Commercial Banks,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",Virginia Consultant LLC,Unknown,,1001,15000,0,Y,,
"",SunTrust Bank Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Bank of Hampton/Road Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",NU Skin US,Pharm/Health Prod,,1,1000,0,Y,,
