orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Grayson Fund interest,Unknown,Cash/Money Market/Savings/Checking,5000001,25000000,0,Y,,
"",Cash Balance,Unknown,Cash/Money Market/Savings/Checking,5000001,25000000,0,Y,,
"",China Mobile,Telecom Svcs,,1015002,5050000,0,Y,,
"",Sandstorm Gold,Mining,,1000001,5000000,0,Y,,
D000031469,American Capital,Securities/Invest,,1000001,5000000,0,Y,,
"",Aberdeen Funds,Unknown,,1000001,5000000,0,Y,,
D000029588,Universal Corp,Tobacco,,500001,1000000,0,Y,,
"",Taseko,Mining,,500001,1000000,0,Y,,
"",Silver Standard Resources,Mining,,500001,1000000,0,Y,,
"",Seadrill,Oil & Gas,,500001,1000000,0,Y,,
"",Roche,Pharm/Health Prod,,500001,1000000,0,Y,,
D000053805,Millicom International Cellular,Telecom Svcs,,500001,1000000,0,Y,,
"",Lukoil Oil,Oil & Gas,,500001,1000000,0,Y,,
"",Jaguar Cars,Automotive,,500001,1000000,0,Y,,
"",Fly Leasing,Air Transport,,500001,1000000,0,Y,,
"",CYS Investments,Securities/Invest,,500001,1000000,0,Y,,
"",Collectors Universe,Business Services,,500001,1000000,0,Y,,
"",Cielo SA,Finance/Credit,,500001,1000000,0,Y,,
D000064520,Annaly Capital Management,Securities/Invest,Insurance policies & Annuities,500001,1000000,0,Y,Y,
"",VMS Ventures,Mining,,250001,500000,0,Y,,
"",Vale SA,Mining,,250001,500000,0,Y,,
"",Thompson Creek,Building Materials,,250001,500000,0,Y,,
"",Restaurant Brands,Food & Beverage,,250001,500000,0,Y,,
"",Pinetree,Securities/Invest,,250001,500000,0,Y,,
"",JPMorgan Chase,Commercial Banks,,250001,500000,0,Y,,
"",Fast Food,Unknown,Unknown,250001,500000,0,Y,,
"",Yamana,Unknown,,100001,250000,0,Y,,
"",Apogee Enterprises,Building Materials,,100001,250000,0,Y,,
D000021800,3M Co,Misc Mfg/Distrib,,100001,250000,0,Y,Y,
"",US Bank Options,Commercial Banks,,50001,100000,0,Y,,
"",Neusun Corp,Unknown,,50001,100000,0,Y,,
"",Yukon Inc,Unknown,Unknown,15001,50000,0,Y,,
D000000275,Merck & Co,Pharm/Health Prod,,15001,50000,0,Y,Y,
"",Grayson Fund Mgmt Co,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Grayson Fund GP,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Grayson Consulting Stock,Unknown,,15001,50000,0,Y,,
D000000166,Eli Lilly & Co,Pharm/Health Prod,,15001,50000,0,Y,Y,
"",AMG Trust,Securities/Invest,,15001,50000,0,Y,,
D000000573,American Electric Power,Electric Utilities,,15001,50000,0,Y,Y,
"",VMTI Mandatory - bank,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Atlanta,Unknown,,1001,15000,0,Y,,
"",Franco-Nevada Corp,Misc Finance,,2,2000,0,Y,,
D000000128,Walt Disney Co,TV/Movies/Music,,1,1000,0,Y,Y,
"",Lumarc,Unknown,,1,1000,0,Y,,
"",Geocom,Unknown,,1,1000,0,Y,,
D000043528,Citadel Broadcasting,TV/Movies/Music,,1,1000,0,Y,,
"",Chancellor Group,Oil & Gas,,1,1000,0,Y,,
