orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Siren Songs Records,TV/Movies/Music,,500001,1000000,0,Y,,
"",Northwestern Mutual Adjustable Comp Life,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
"",Hudson Valley Credit Union Personal Savg,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Bank of Millbrook/Personal savings,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Calvert Social Investment Equity Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",USAA Federal Savings Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",M&T Bank/Personal savings,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",State Street S&P 500 Flagship,Unknown,Mutual Fund,1001,15000,0,Y,,
"",South East Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Fidelity Puritan Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Cuttyhunk Music,Unknown,,1001,15000,0,Y,,
"",CREF Retirement Annuity CREF Stock,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CREF Retirement Annuity CREF Social Ch,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CREF Retirement Annuity CREF Equity Indx,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CREF Retirement Annuity CREF Bond Market,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Calvert World Values Intl Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Calvert New Vision Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Calvert Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Brandreth Park Assn,Unknown,,1001,15000,0,Y,,
"",Brandreth Assoc,Unknown,,1001,15000,0,Y,,
"",Fidelity OTC Portfolio Fund,Unknown,Mutual Fund,1,1000,0,Y,,
"",CREF Retirement Annuity CREF Money Mkt,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Congressional FCU/Savings,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
