orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000067959,Harman International Industries,Electronics Mfg/Eqp,,110250005,150500002,1,Y,,Y
"",Goldman Sachs Government Income Fund,Unknown,Mutual Fund,7000003,35000000,0,Y,,
"",GS Structured Large Cap Growth Instl,Unknown,Mutual Fund,5500002,26000000,0,Y,,
"",GS TACS-Advantaged Global Alpha Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",GS GMS IntlEq Advisers III Wm Blair,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",GS GMS Alpha + Advisers I Horizon,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",GS Alpha-Beta Continuum Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",Goldman Sachs Core Fixed Income Fund,Unknown,Mutual Fund,1750004,6500000,0,Y,,
"",Eksportfinans ASA,Finance/Credit,,1750003,6500000,0,Y,,
"",Goldman Sachs High Yield Municipal Fund,Unknown,Government Bond,1500002,6000000,0,Y,,
"","Los Angeles, CA USD G/O Bond",Unknown,Government Bond,1100002,5250000,0,Y,,
"",California Statewide Cmnty Dev Bond,Unknown,Government Bond,1100002,5250000,0,Y,,
"",Taconic Capital Partners,Securities/Invest,,1000001,5000000,0,Y,,
"",Southern California Metro Revenue Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"","Santa Clara Valley, CA Transp Bond",Unknown,Government Bond,1000001,5000000,0,Y,,
"","San Francisco, CA City & County Bond",Unknown,Government Bond,1000001,5000000,0,Y,,
"","San Diego, CA Redevelop Agency Tax Bond",Unknown,Government Bond,1000001,5000000,0,Y,,
"","San Diego, CA Public Facs Finance Bond",Unknown,Government Bond,1000001,5000000,0,Y,,
"",Puerto Rico Public Finance Corp Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",Puerto Rico Infrastructure Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",Puerto Rico Convention Center Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"","Pasadena, CA USD Bond",Unknown,Government Bond,1000001,5000000,0,Y,,
"","Oxnard, CA Flag Auth Bond",Unknown,Government Bond,1000001,5000000,0,Y,,
"","Moreland, CA School District G/O Bond",Unknown,Government Bond,1000001,5000000,0,Y,,
"",Mojave Water Agency CA Impvt Dist Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"","Los Gatos, CA Joint School Dist G/Obond",Unknown,Government Bond,1000001,5000000,0,Y,,
"",JBG Investment Fund V LLC,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",GS Concentrated International Equity Fnd,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Goldman Sachs Strategic Euro Partners,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Goldman Sachs GMS Alpha+ IV Portfolio,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",GMS International Equity Advisors,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",California University of Regents Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",California State Eco Recovery G/o Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",California Health Facilities FFA Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",California DWP Revenue Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",Blum Strategic Partners II LP,Securities/Invest,,1000001,5000000,0,Y,,
