orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","First Bank & Trust Sioux Falls, SD/Checking",Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Capital One St Cloud/C/D,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Franklin Floating Rate Daily Access Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Vanguard Value Index Signal Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Templeton Global Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price US Bond Enhanced Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",SunAmerica Focused Balanced Strategy Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PIMCO Low Duration Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Perkins Mid Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Marsico Focus Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",IRA,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Strategic Dividend & Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Federated High Yield Trust Service,Unknown,Mutual Fund,15001,50000,0,Y,,
"",AllianzGI Income & Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares National AMT-Free Muni Bond,Unknown,Mutual Fund,1001,16000,0,Y,,
"",WisdomTree Emerging Markets Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Growth Index Signal Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Growth ETF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Prime Fund Capital Reserves Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Global Balanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Credit Suisse Commodity Ret Strat Instl Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Bank of America/Money Market Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Artisan International Investor Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Century Real Estate Inv Fund,Unknown,,1001,15000,0,Y,,
"",AllianzGI NFJ International Value D,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PIMCO Real Return Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",PIMCO All Asset All Authority D FundFi,Unknown,Mutual Fund,0,1000,0,Y,,
"",Franklin High Yield Tax-Free Income Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",Capital One St Cloud/ IRA Cash Accounts,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
