orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Janus Overseas Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",American Century Equity Income Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,100002,200000,0,Y,,
"",Lord Abbett Short Duration Income Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Franklin Strategic Income Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Small Cap Value Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Small Cap Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity New Insights Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Mid Cap Stock Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Eaton Vance Floating Rate Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Villa Grove State Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Tuscola National Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Sidell State Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Philo Exchange Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",First National Bank of Ogden/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",First National Bank in Paxton/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",First Mid-Illinois Bank & Trust/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Federated Capital Reserves Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",DWS High Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Condominium,Real Estate,,15001,50000,0,Y,,
"",Central Illinois Bank of Sidney/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Busey Bank of St Joseph/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Bank of Rantoul/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",American Funds AmCap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Longview State Bank/CD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",iShares Russell 2000 Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Capital Appreciation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Leveraged Co Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
