orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Fidelity Money Market,Unknown,Cash/Money Market/Savings/Checking,1751007,6565000,0,Y,,
"",iShares Russell 3000 Index,Unknown,Mutual Fund,1101004,2265000,0,Y,,
"",iShares MSCI ACWI Ex US Index,Unknown,Mutual Fund,1051004,2115000,0,Y,,
"",Federated Money Market,Unknown,Cash/Money Market/Savings/Checking,801004,1615000,0,Y,,
"",Summit Rock Diversified Strategies LP,Securities/Invest,,701004,1515000,0,Y,,
"",Summit Rock Hedged Equity LP,Securities/Invest,,401004,865000,0,Y,,
"",Summit Rock Balanced Reserves/Cash,Securities/Invest,Cash/Money Market/Savings/Checking,366004,815000,0,Y,,
"",Summit Rock Select Equity LP,Securities/Invest,,216004,565000,0,Y,,
"",iShares Cohen & Steers Realty Majors,Securities/Invest,,216004,565000,0,Y,,
"",Summit Rock Private Equity LP,Securities/Invest,,116003,315000,0,Y,,
"",Ipath Dow Jones AIG Commodity,Unknown,Mutual Fund,101004,216000,0,Y,,
"",Summit Rock Strategic Fixed Income LP,Securities/Invest,,67004,180000,0,Y,,
"",New York NY Trnsl Fin Auth Bond,Unknown,Government Bond,32005,131000,0,Y,,
"",Triborough Bridge & Tunnel Auth NY Bond,Unknown,Government Bond,31004,116000,0,Y,,
"",Summit Rock Real Assets LP,Securities/Invest,,51003,116000,0,Y,,
"",NY Environmental NYC Muni Water Bond,Unknown,Government Bond,31004,116000,0,Y,,
"",New York St Twy Auth Spl Tax Bond,Unknown,Government Bond,31004,116000,0,Y,,
"",New York St Evnrmntl Facs Corp Bond,Unknown,Government Bond,31004,116000,0,Y,,
"",New York NY Hlth & Hosp Corp Bond,Unknown,Government Bond,31004,116000,0,Y,,
"",New York NY G/O Bond,Unknown,Government Bond,31004,116000,0,Y,,
"",Muni Electric Auth of Georgia Bond,Unknown,Government Bond,31004,116000,0,Y,,
"",Long Island Pwr Auth NY Elec Bond,Unknown,Government Bond,31004,116000,0,Y,,
"","Chicago, IL Trnsp Auth Fed Gan Bond",Unknown,Government Bond,31004,116000,0,Y,,
"",Puerto Rico Commonwealth Bond,Misc Finance,Government Bond,18007,98000,0,Y,,
"",Fidelity US Bond Index,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Fidelity Intermediate Bond Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Dodge & Cox Income Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Thornburg Intermed Muni Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",New York St Twy Auth St Pers Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Fidelity Short Interm Muni Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",West Virginia Econ Dev Auth So Bond,Unknown,Government Bond,2004,32000,0,Y,,
"",Ohio Air Quality Dev Auth Bond,Unknown,Government Bond,2004,32000,0,Y,,
"",California Statewide CDA Bond,Unknown,Government Bond,2004,32000,0,Y,,
"",Berstein Brokerage Cash Balance,Unknown,Cash/Money Market/Savings/Checking,2004,32000,0,Y,,
"",Oregon Health Sciences Univ Bond,Unknown,Government Bond,1003,17000,0,Y,,
