orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Enersystems Inc,Mining,,1000001,5000000,0,A,,
"","MVB Bank(Fairmont, West Virginia)/Savings",Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,A,,
"",MVB Financial Corp,Commercial Banks,,250001,500000,0,A,,
"",Manchin Enterprises,Real Estate,,250001,500000,0,A,,
"",Joseph Manchin III Qualified Blind Trust,Unknown,"Brokerage, IRA, 401k",250001,500000,0,A,,
"",Farmington Resources Inc,Unknown,,200002,500000,0,A,,
"",Synchrony Bank CD,Unknown,Cash/Money Market/Savings/Checking,130004,300000,0,A,,
"",Prudential Life Insurance Whole Life Policy Cash V,Unknown,Insurance policies & Annuities,115002,300000,0,A,,
"",Goldman Sachs Bank CD,Unknown,Cash/Money Market/Savings/Checking,130004,300000,0,A,,
"",Northwestern Mutual Life Insurance Whole Life,Unknown,Insurance policies & Annuities,100001,250000,0,A,,
"","Huntington Banks(Fairmont, West Virginia)/Savings",Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
"",Sallie Mae Bank CD,Unknown,Cash/Money Market/Savings/Checking,80003,200000,0,A,,
"",DFA Emerging Markets Core Equity Fund,Unknown,Mutual Fund,66003,165000,0,A,,
"",DFA International Small Cap Value Fund,Unknown,Mutual Fund,34006,160000,0,A,,
"",Vanguard Short Term Tax Exempt Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",Vanguard 500 Index Admiral Fund,Unknown,Mutual Fund,30002,100000,0,A,,
"",MPM Properties,Real Estate,,50001,100000,0,A,,
"",GE Capital Bank CD,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,A,,
"",DFA Tax-Managed US Targeted Value,Unknown,Mutual Fund,50001,100000,0,A,,
"",DFA Tax-Managed US Small Cap,Unknown,Mutual Fund,50001,100000,0,A,,
"",DFA Tax-Managed US Marketwide Value II,Unknown,Mutual Fund,50001,100000,0,A,,
"",DFA Tax-Managed US Eq,Unknown,Mutual Fund,50001,100000,0,A,,
"",DFA Global Allocation,Unknown,Mutual Fund,50001,100000,0,A,,
"",DFA Large Cap International I,Unknown,Mutual Fund,17003,80000,0,A,,
"",Vericimetry US Small Cap Value Fund,Unknown,Mutual Fund,16002,65000,0,A,,
"",DFA US Small Cap Fund,Unknown,Mutual Fund,16002,65000,0,A,,
"",DFA US Large Cap Value Fund,Unknown,Mutual Fund,16002,65000,0,A,,
"",DFA Real Estate Securities Fund,Real Estate,,16002,65000,0,A,,
"",WV National Co,Unknown,,15001,50000,0,A,,
"","Undeveloped land/Glade Springs, WV",Real Estate,,15001,50000,0,A,,
"","Undeveloped land/Fairmont, WV",Real Estate,,15001,50000,0,A,,
"",TIAA-CREF - Traditional Annuity,Unknown,Insurance policies & Annuities,15001,50000,0,A,,
D000000141,Prudential Financial,Insurance,,15001,50000,0,A,Y,
"","Huntington Banks(Fairmont, West Virginia)/Checking",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",Fidelity Tax Free Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",DFA Two-Year Global Fixed Income Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",DFA Tax-Managed International Value,Unknown,Mutual Fund,15001,50000,0,A,,
"","Branch Banking & Trust(Charleston, WV)/Savings",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"","Branch Banking & Trust(Charleston, WV)/Checking",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",AA Properties LLC,Real Estate,,15001,50000,0,A,,
"",PIMCO Commodity Real Return Strat,Unknown,Mutual Fund,2002,30000,0,A,,
"",Fidelity Cash Reserve Fund,Unknown,Mutual Fund,2002,30000,0,A,,
"",DFA International Value III,Unknown,Mutual Fund,2002,30000,0,A,,
"",nChannel Inc,Unknown,,1001,15000,0,A,,
"",Modern Woodmen of the World Life Insurance Policy,Unknown,Insurance policies & Annuities,1001,15000,0,A,,
