orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Syscom Services,Electronics Mfg/Eqp,,1000001,5000000,0,Y,,
"",John Hancock Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Income Fund of America Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",3-year Compound,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Tax Exempt Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Lincoln National American Legacy III Ann,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
"",Johnson Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000021985,First National Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Calvert Social Investment Fund Bond Port,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Van Kampen Mid Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Van Kampen International Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Van Kampen Equity & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Van Kampen Corporate Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Van Kampen Comstock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Balanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",College Fund,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Calvert World Values Fund Intl Equity Fd,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Calvert Social Investment Fund Balanced,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Calvert Social Investment Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Calvert Large Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
