orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000000341,Rite Aid Corp,Retail Sales,,3003,45000,0,Y,Y,
"",Covad Communications,Unknown,,3003,45000,0,Y,,
D000000223,Schering-Plough Corp,Pharm/Health Prod,,2002,30000,0,Y,Y,
D000000422,Oracle Corp,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,Y
D000000804,Intel Corp,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,Y
D000000374,Cisco Systems,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,
D000023834,Alcatel-Lucent,Telecom Svcs,,2002,30000,0,Y,,
D000000155,General Motors,Automotive,,1002,16000,0,Y,Y,Y
D000022274,TD Ameritrade,Securities/Invest,,1001,15000,0,Y,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
D000000449,Nortel Networks,Telecom Svcs,,1001,15000,0,Y,Y,
"",Merek,Unknown,,1001,15000,0,Y,,
"",Game Stop Corp,Retail Sales,,1001,15000,0,Y,,
D000000212,Coca-Cola Co,Food & Beverage,,1001,15000,0,Y,Y,
D000031592,Aqua America,Misc Energy,,1001,15000,0,Y,,
"",Anglo American Plc,Mining,,1001,15000,0,Y,,
"",Agua America Inc,Unknown,,1001,15000,0,Y,,
