orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Lord Abbett Securities Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",First Eagle Global Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Columbia Marsico 21st Century Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Cole Taylor Bank/CD,Unknown,Cash/Money Market/Savings/Checking,30002,100000,0,Y,,
"",Blackrock Global Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",American Income Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Fidelity Advisor,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Van Kampen Equity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Van Kampen Equity,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Prudential Financial Life Insurance,Insurance,Insurance policies & Annuities,15001,50000,0,Y,,
"",PIMCO Corporate Oppotunity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Mainstay MAP,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Joseph American Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Franklin Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Evergreen Asset Allocation Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Eaton Vance Large Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Discover Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Citibank/Cash,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",American Charter Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"","New York, NY Muni Bond",Unknown,Government Bond,1001,15000,0,Y,,
"",JPMorgan Highbridge,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Eaton Vance Tax Managed Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CISNA Corp,Unknown,,1001,15000,0,Y,,
"",Batavia NY Muni Bond,Unknown,Government Bond,1001,15000,0,Y,,
