orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Templeton Growth Fund,Unknown,Mutual Fund,115002,300000,0,Y,,
"",Franklin Flex Cap Growth Fund,Unknown,Mutual Fund,101002,265000,0,Y,,
"",Franklin Income Custodian Funds,Unknown,Mutual Fund,100001,250000,0,Y,,
D000045450,Franklin Mutual Shares Fund,Securities/Invest,Mutual Fund,65002,150000,0,Y,,
"",Putnam Fund for Growth & Income,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Franklin Floating Rate Funds,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Capital One Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,30002,100000,0,Y,,
"",American Capital Income Builder Fund,Unknown,Mutual Fund,17003,80000,0,Y,,
"",US Treasury Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Rental Mini Storage,Real Estate,,15001,50000,0,Y,,
"","Rental House/Napoleonville, LA",Real Estate,,15001,50000,0,Y,,
"",Putnam Investors Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Putnam Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Putnam Equity Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Legg Mason Core Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",LA Public Employees Deferred Comp,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",George Putnam Fund of Boston,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Franklin Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,15001,50000,0,Y,Y,Y
D000000091,BP,Oil & Gas,,15001,50000,0,Y,Y,Y
D000000367,Wal-Mart Stores,Retail Sales,,2002,30000,0,Y,Y,Y
"",Thornburg Core Growth Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
D000000138,Pfizer Inc,Pharm/Health Prod,,2002,30000,0,Y,Y,Y
D000000422,Oracle Corp,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,
"",Metropolitan West Total Return Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Merrill Lynch Bank Deposit Account,Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",Merrill Lynch Bank,Commercial Banks,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"","Lafayette, LA Bond",Unknown,Government Bond,2002,30000,0,Y,,
"",Hartford Capital Appreciation Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Franklin Cust Fund Inc,Unknown,Mutual Fund,2002,30000,0,Y,,
D000000076,AT&T Inc,Telephone Utilities,,2002,30000,0,Y,Y,Y
"",Victory Diversified Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",US Treasury Note,Unknown,Government Bond,1001,15000,0,Y,,
"",Thornburg Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Thornburg Income Builder,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000722,Texas Instruments,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Tenn Valley Authority Note,Unknown,,1001,15000,0,Y,,
D000030251,Sysco Corp,Food Process/Sales,,1001,15000,0,Y,,
D000022247,Shaw Group,General Contractors,,1001,15000,0,Y,Y,Y
"",Pioneer Strategic Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Nuveen Quality Preferred Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",MFS Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Loomis Sayles Strategic,Unknown,,1001,15000,0,Y,,
"",Loomis Sayles Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Legg Mason Investment Grade Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Legg Mason High Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000001024,Kraft Foods,Food Process/Sales,,1001,15000,0,Y,Y,
"",Knights of Columbus Annuity,Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Household Finance Corp,Unknown,,1001,15000,0,Y,,
D000000419,Home Depot,Retail Sales,,1001,15000,0,Y,Y,
"",Hartford Floating Rate Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
