orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Vacant Land/Rancho Cucamonga, CA",Real Estate,,5000001,25000000,0,Y,,
"",Vineyard Bank Account,Unknown,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",Pomona Bank & Trust 1st Federal,Commercial Banks,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",IndyMac Bancorp,Real Estate,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",Countrywide Bank Account,Unknown,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",CapitolSource Bank Account,Commercial Banks,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",APN 239 193 11 Vacant Land,Real Estate,,1000001,5000000,0,Y,,
"","Lot 16 Tract 23483 1 Acr/Diamond Bar, CA",Real Estate,,500001,1000000,0,Y,,
"","Lot 15 Tract 23483 1 Acr/Diamond Bar, CA",Real Estate,,500001,1000000,0,Y,,
"",G Miller Development Co,Unknown,,500001,1000000,0,Y,,
"",Havadjia Holding,Unknown,Note/Note Receivable,250001,500000,0,Y,,
D000067115,Petroleo Brasileiro SA,Oil & Gas,,100001,250000,0,Y,,
"",JPMorgan Chase Bank Account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Bank of America account,Commercial Banks,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Mainstay Equity Index,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Hartford Mid Cap Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Vale SA,Mining,,15001,50000,0,Y,,
D000045915,Transocean Inc,Oil & Gas,,15001,50000,0,Y,Y,
"","Sacramento, CA Impvt Bond Act Bond",Unknown,Government Bond,15001,50000,0,Y,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",LDK Solar,Misc Energy,,15001,50000,0,Y,,
D000000371,Jacobs Engineering Group,Construction Svcs,,15001,50000,0,Y,Y,
"",Hartford Dividend & Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Foothill/E Transp Corridor Agcy CA Bond,Unknown,Government Bond,15001,50000,0,Y,,
"","Chino, CA Cmnty Facs Dist Spl Tax Muni",Unknown,Government Bond,15001,50000,0,Y,,
"",California Cmntys Dev Auth Water Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",American Funds Investment Co of America,Unknown,,15001,50000,0,Y,,
"",Hartford International Opportunity Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Citibank Bank Deposit Program,Unknown,Cash/Money Market/Savings/Checking,1002,16000,0,Y,,
"",Vanguard Market Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",SunAmerica Life Insurance,Insurance,,1001,15000,0,Y,,
"",Smith Barney Money market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Renesola Ltd,Unknown,,1001,15000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
"",PFF Bancorp,Unknown,,1001,15000,0,Y,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000419,Home Depot,Retail Sales,,1001,15000,0,Y,Y,
D000000125,General Electric,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
"",Carrari Ranch LLC,Real Estate,,1001,15000,0,Y,,
"",Caroline Pacific LLC,Real Estate,,1001,15000,0,Y,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000090,Bank of America,Commercial Banks,,1001,15000,0,Y,Y,
"",Sprint Nextel,Telecom Svcs,,1,1000,0,Y,,
"",Motorola Inc,Telecom Svcs,,1,1000,0,Y,,
D000025670,Embarq Corp,Telephone Utilities,,1,1000,0,Y,Y,
"",Citibank South Dakota Bank Deposit Prog,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,1,1000,0,Y,,
