orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",SummerWinds Garden Centers,Agricultural Svcs,,1250002,5500000,0,Y,,
"",Showy Phlox Estates,Unknown,,1000001,5000000,0,Y,,
"",Minnick Land,Real Estate,,1000002,2000000,0,Y,,
"",Foundation Farm,Crop Production,,250001,500000,0,Y,,
"","1094 Hearthstone Drive/Boise, ID",Real Estate,,250001,500000,0,Y,,
"",Charles Schwab/Cash,Unknown,Cash/Money Market/Savings/Checking,100002,251000,0,Y,,
"",UBS Eucaltyptus Fund LLC,Unknown,,100001,250000,0,Y,,
"",Minnick Hills Vineyard,"Beer, Wine & Liquor",,100001,250000,0,Y,,
"",Highway 12 Venture,Unknown,,100001,250000,0,Y,,
"",D3 Family Bulldog Fund LP,Securities/Invest,,100001,250000,0,Y,,
"","1108 N Hearthstone/Boise, ID",Real Estate,,100001,250000,0,Y,,
"",UBS IRA R/O PMP Accounts,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Telemetrics,Unknown,,50001,100000,0,Y,,
"",Pac West (Akers Capital),Unknown,,50001,100000,0,Y,,
"",Keeley Small Cap Value Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Eastern Oregon Farming,Crop Production,,50001,100000,0,Y,,
"",Riversource Smaller Company Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Columbia Small Cap Index,Unknown,Mutual Fund,16002,65000,0,Y,,
D000068479,Wellpoint Inc,Health Services,,15001,50000,0,Y,,
D000022303,Valero Energy,Oil & Gas,,15001,50000,0,Y,Y,
"",UBS Global Allocation Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",UBS Bank Cash,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000021773,Travelers Companies,Insurance,,15001,50000,0,Y,Y,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,15001,50000,0,Y,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,15001,50000,0,Y,Y,
D000000422,Oracle Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000028057,Nucor Corp,Steel Production,,15001,50000,0,Y,Y,
D000019639,Norfolk Southern,Railroads,,15001,50000,0,Y,Y,
"",Legacy Bancorp,Unknown,,15001,50000,0,Y,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,15001,50000,0,Y,Y,
"",Harbus Investors,Unknown,,15001,50000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,15001,50000,0,Y,Y,Y
D000000129,Exxon Mobil,Oil & Gas,,15001,50000,0,Y,Y,
D000025483,Devon Energy,Oil & Gas,,15001,50000,0,Y,Y,
"",CVS/Caremark Corp,Retail Sales,,15001,50000,0,Y,,
D000021930,Computer Sciences Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000021892,Cardinal Health,Pharm/Health Prod,,15001,50000,0,Y,Y,
D000021757,Berkshire Hathaway,Securities/Invest,,15001,50000,0,Y,Y,
D000024095,Apache Corp,Oil & Gas,,15001,50000,0,Y,Y,
D000000391,Amgen Inc,Pharm/Health Prod,,15001,50000,0,Y,Y,
"",American Funds New World Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds New Perspective Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Europacific Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000786,Accenture,Business Services,,15001,50000,0,Y,Y,
"",Webster Financial,Commercial Banks,,1001,15000,0,Y,,
"",UBS Tamarack International,Unknown,,1001,15000,0,Y,,
"",Schwab Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Quantum Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000059447,Noble Corp,Oil & Gas,,1001,15000,0,Y,,
D000000244,Marathon Oil,Oil & Gas,,1001,15000,0,Y,Y,
"",Lexington Realy,Unknown,,1001,15000,0,Y,,
"",Hampden Bancorp,Unknown,,1001,15000,0,Y,,
"",Ensco International,Oil & Gas,,1001,15000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
