orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Real Estate (vacant lot),Real Estate,,1000001,5000000,0,Y,,
"",Bank Deposit Sweep Account,Unknown,Cash/Money Market/Savings/Checking,843966,843966,0,Y,,
"",Real Estate,Real Estate,,250001,500000,0,Y,,
"",Westcore Plus Bond Fund,Unknown,Mutual Fund,350065,350065,0,A,,
"",RMC III Inc,Real Estate,,100001,250000,0,Y,,
"",Regions Bank/Account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Chattahoochee Assoc,Unknown,,100001,250000,0,Y,,
D000058998,Bank of North Georgia,Commercial Banks,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,223904,223904,0,A,,
"",Securian Advantus Bond,Unknown,Mutual Fund,178746,178746,0,A,,
"",Fidelity Total Bond Fund,Unknown,Mutual Fund,176988,176988,0,A,,
"",MFS Value Series Fund,Unknown,Mutual Fund,166990,166990,0,A,,
"",Stadion A Managed Fund,Unknown,Mutual Fund,147780,147780,0,A,,
"",Oppenheimer International Bond Fund,Unknown,Mutual Fund,122821,122821,0,A,,
"",Wells Fargo Short Duration,Unknown,Mutual Fund,115154,115154,0,A,,
"",Securian Advantus Mortgage Sector,Real Estate,,114304,114304,0,A,,
"",American Century VP Inflation Protected,Unknown,Mutual Fund,105234,105234,0,A,,
D000036869,Public Storage Inc,Misc Business,,50001,100000,0,Y,,
D000028396,PNC Bank Corp,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Nebraska Educational Savings Trust,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Carolina Properties,Real Estate,,50001,100000,0,Y,,
"",Ivy VIP Core Equity Fund,Unknown,Mutual Fund,97940,97940,0,A,,
"",American Century VP Value Fund,Unknown,Mutual Fund,83430,83430,0,A,,
"",Ivy VIP Growth Fund,Unknown,Mutual Fund,82868,82868,0,A,,
"",Janus Aspen Perkins Overseas Portfolio,Unknown,Mutual Fund,62023,62023,0,A,,
"",Securian Advantus Index 400,Unknown,Mutual Fund,60051,60051,0,A,,
"",MFS Investors Growth Fund,Unknown,Mutual Fund,59891,59891,0,A,,
"",Fidelity VIP High Income Fund,Unknown,Mutual Fund,59608,59608,0,A,,
"",DWS High Income Fund,Unknown,Mutual Fund,58503,58503,0,A,,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000021868,BB&T Corp,Commercial Banks,,15001,50000,0,Y,Y,
"",Securian Advantus International Bond,Unknown,Mutual Fund,48686,48686,0,A,,
"",Campbell Fund Trust,Unknown,Mutual Fund,46688,46688,0,Y,,
"",Securian Advantus Real Estate,Unknown,Mutual Fund,35068,35068,0,A,,
"",Wells Fargo Montgomery I Short Duration,Unknown,Mutual Fund,26820,26820,0,A,,
D000000419,Home Depot,Retail Sales,,25482,25482,0,A,Y,Y
"",Franklin VIP High Income Securities Fund,Unknown,Mutual Fund,25006,25006,0,A,,
"",Ms Ulf Emerging Markets Equity,Unknown,Mutual Fund,24767,24767,0,A,,
"",Invesco VI Small Cap Equity Fund,Unknown,Mutual Fund,24081,24081,0,A,,
"",Janus Aspen Perkins Mid Cap Value Port,Unknown,Mutual Fund,23857,23857,0,A,,
"",Emory University Retirement Plan,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Aetna Health Savings Account Tax Free,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",1001,15000,0,Y,,
"",Ishares Core Total Us Bond Market Etf,Unknown,Mutual Fund,13663,13663,0,Y,,
"",iShares S&P 500 Growth ETF,Unknown,Mutual Fund,13169,13169,0,Y,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,10643,10643,0,Y,Y,
"",Guggenheim S&p 500 Equal Weighted Index,Unknown,Mutual Fund,10451,10451,0,Y,,
"",iShares iBoxx Investor Grade Corp Bd Fd,Unknown,Mutual Fund,10405,10405,0,Y,,
"",Ishares Core S&p Total Us Stock Market,Unknown,Mutual Fund,10390,10390,0,Y,,
"",iShares Barclays 1-3 Yr Treasury Fund,Unknown,Mutual Fund,10384,10384,0,Y,,
"",iShares S&P Mid Cap 400 Index,Unknown,Mutual Fund,7120,7120,0,Y,,
"",iShares S&P 500 Growth Index,Unknown,Mutual Fund,7120,7120,0,Y,,
"",iShares Dow Jones US Financial,Unknown,Mutual Fund,7102,7102,0,Y,,
"",iShares iBoxx High Yield Corp Bond Fund,Unknown,Mutual Fund,7001,7001,0,Y,,
"",iShares High Dividend Equity Fund,Unknown,Mutual Fund,6757,6757,0,Y,,
D000029582,United Rentals,Misc Services,,6464,6464,0,Y,Y,
"",Industrial Select Sector SPDR ETF,Misc Mfg/Distrib,,5723,5723,0,Y,,
"",Vanguard Materials Fund,Unknown,Mutual Fund,5642,5642,0,Y,,
"",Energy Select Sector SPDR ETF,Misc Energy,,5571,5571,0,Y,,
"",iShares Dow Jones US Real Estate Index,Unknown,Mutual Fund,5562,5562,0,Y,,
"",Sandisk Corp,Electronics Mfg/Eqp,,4872,4872,0,Y,,
D000029689,Visa Inc,Finance/Credit,,4851,4851,0,Y,Y,
D000028398,PNC Financial Services,Commercial Banks,,4781,4781,0,Y,Y,
"",S&P Smallcap 600 Index,Unknown,Mutual Fund,4764,4764,0,Y,,
D000021977,Express Scripts,Health Services,,4698,4698,0,Y,Y,Y
D000023883,Amazon.com,Internet,,4516,4516,0,Y,Y,
"",First Trust Technology Alphadex Fund,Unknown,Mutual Fund,4380,4380,0,Y,,
"",Powershares DB Commodity Index,Unknown,Mutual Fund,4195,4195,0,Y,,
D000000118,Union Pacific Corp,Railroads,,3771,3771,0,Y,Y,
D000000055,Monsanto Co,Agricultural Svcs,,3691,3691,0,Y,Y,
D000028281,Penn National Gaming,Casinos/Gambling,,3634,3634,0,Y,Y,
"",EMC Corp,Electronics Mfg/Eqp,,3618,3618,0,Y,,
D000043002,VMware Inc,Electronics Mfg/Eqp,,3577,3577,0,Y,,
D000031048,Whole Foods Market,Food Process/Sales,,3555,3555,0,Y,,
D000037780,Starbucks Corp,Food & Beverage,,3540,3540,0,Y,Y,
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,3526,3526,0,Y,Y,Y
"",Consumer Discretionary Select SPDR,Misc Business,Mutual Fund,3510,3510,0,Y,,
D000028149,ONEOK Inc,Oil & Gas,,3506,3506,0,Y,Y,
"",Guggenheim Enhanced Short Duration Bond,Unknown,Mutual Fund,3453,3453,0,Y,,
"",Powershares Db Us Dlr Index Bullish,Unknown,Mutual Fund,3424,3424,0,Y,,
D000042744,Petsmart Inc,Retail Sales,,3417,3417,0,Y,,
D000067520,Rackspace Hosting,Internet,,2674,2674,0,Y,Y,
"",PowerShares DB Precious Metals,Unknown,Mutual Fund,2626,2626,0,Y,,
"",Limited Brands Inc,Retail Sales,,2165,2165,0,Y,,
