orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",US Senate Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,101002,265000,0,Y,,
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,16002,65000,0,Y,Y,
D000031048,Whole Foods Market,Food Process/Sales,,15001,50000,0,Y,,
"",Alliance Bernstein College Bound Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000030819,Vertex Pharmaceuticals,Pharm/Health Prod,,2002,30000,0,Y,Y,
D000030157,Stryker Corp,Pharm/Health Prod,,2002,30000,0,Y,Y,
"",Sanofi SA,Unknown,,2002,30000,0,Y,,
"",Proshares Trust Short 20+ Treasury,Unknown,Mutual Fund,2002,30000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,2002,30000,0,Y,Y,
D000000200,PepsiCo Inc,Food & Beverage,,2002,30000,0,Y,Y,
D000021977,Express Scripts,Health Services,,2002,30000,0,Y,Y,
D000000703,Costco Wholesale,Retail Sales,,2002,30000,0,Y,,
"",Xilinx Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",Wells Fargo/Deposit Sweep Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000064241,Vodafone Group,Telecom Svcs,,1001,15000,0,Y,,
"",United Natural Foods,Food Process/Sales,,1001,15000,0,Y,,
"",SPDR S&P Retail ETF,Retail Sales,,1001,15000,0,Y,,
D000037414,Schlumberger Ltd,Oil & Gas,,1001,15000,0,Y,,
"",Powershares QQQ Trust,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Powershares Golden Dragon Portfolio,Unknown,Mutual Fund,1001,15000,0,Y,,
D000067072,Potash Corp of Saskatchewan,Unknown,,1001,15000,0,Y,,
D000027296,Lowe's Companies,Retail Sales,,1001,15000,0,Y,Y,
D000026944,Kansas City Southern,Railroads,,1001,15000,0,Y,Y,
"",iShares NASDAQ Biotech index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Ishares Dow Jones US ET Transportation I,Misc Transport,,1001,15000,0,Y,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000022038,Illinois Tool Works,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
"",Global X Funds,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Freeport-McMoRan Copper & Gold,Mining,,1001,15000,0,Y,,
D000019828,Emerson Electric,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
"",EMC Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000000212,Coca-Cola Co,Food & Beverage,,1001,15000,0,Y,Y,
"",Claymore Trust 2 Guggenheim Shipping,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Altera Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000023785,Agrium Inc,Agricultural Svcs,,1001,15000,0,Y,,
