orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Rental Property/Washington, DC",Real Estate,,500001,1000000,0,Y,,
"","Rental Property/San Diego, CA",Real Estate,,500001,1000000,0,Y,,
D000019566,Wells Fargo Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Traditional Thornburg Income Builder,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Traditional Templeton Global Bond Adv,Unknown,Government Bond,15001,50000,0,Y,,
"",Traditional Ivy Asset Strategy,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Traditional First Eagle Global,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Thornburg Investment Income Builder Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Templeton Global Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Roth American Funds Fundamental Investors,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Mutual Global Discovery Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Ivy Asset Strategy Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Fundamental Invstments,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Roth Thornburg Income Builders Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Roth Templeton Global Bond Adv,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Roth First Eagle Global Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Roth American Funds New World,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Ivy Asset Strategy,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds New World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
