orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",CREF Stock Variable Annuity,Unknown,Mutual Fund,250001,500000,0,A,,
"",Putnam Growth & Income Fund,Unknown,Mutual Fund,115002,300000,0,A,,
"",TIAA Traditional Fixed Income Annuity,Unknown,Mutual Fund,100001,250000,0,A,,
"",Pentagon Federal Credit Union/savings,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
"",Navy Federal Credit Union Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
"",CREF Growth Variable Annuity,Unknown,Mutual Fund,50001,100000,0,A,,
"",CREF Global Equity Variable Annuity,Unknown,Insurance policies & Annuities,50001,100000,0,A,,
"",US Savings Bond,Unknown,Government Bond,15001,50000,0,A,,
"",Navy Federal Credit Union IRA,Unknown,"Brokerage, IRA, 401k",15001,50000,0,A,,
"",NASDAQ 100 Index,Unknown,Mutual Fund,15001,50000,0,A,,
"",F5 Networks,Electronics Mfg/Eqp,,15001,50000,0,A,,
D000000129,Exxon Mobil,Oil & Gas,,15001,50000,0,A,Y,Y
"",E*Trade Securities/Cash & Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",E*Trade Bank/Complete Savings,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",DaVita Inc,Health Services,,15001,50000,0,A,,
"",Checkpoint Systems,Unknown,,15001,50000,0,A,,
"",Bank of America/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
D000023883,Amazon.com,Internet,,15001,50000,0,A,Y,
D000000607,Xerox Corp,Misc Mfg/Distrib,,1001,15000,0,A,Y,
D000000367,Wal-Mart Stores,Retail Sales,,1001,15000,0,A,Y,
"",USAA Tax Exempt Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
D000030495,Toyota Motor Corp,Automotive,,1001,15000,0,A,Y,
D000000094,Time Warner,TV/Movies/Music,,1001,15000,0,A,Y,Y
"",Thomas & Betts,Misc Energy,,1001,15000,0,A,,
"",Sunrise Assisted Living,Hospitals/Nurs Homes,,1001,15000,0,A,,
D000036997,Red Hat Inc,Electronics Mfg/Eqp,,1001,15000,0,A,Y,
D000041961,Phillips Petroleum,Oil & Gas,,1001,15000,0,A,,
D000000138,Pfizer Inc,Pharm/Health Prod,,1001,15000,0,A,Y,Y
"",Nokia Corp,Telecom Svcs,,1001,15000,0,A,,
D000035098,Kimberly-Clark Corp,Misc Mfg/Distrib,,1001,15000,0,A,Y,
"",JDS Uniphase,Electronics Mfg/Eqp,,1001,15000,0,A,,
D000051937,Hovnanian Enterprises,Home Builders,,1001,15000,0,A,Y,
"",Honda Motor,Automotive,,1001,15000,0,A,,
D000000419,Home Depot,Retail Sales,,1001,15000,0,A,Y,
"",EMC Corp,Electronics Mfg/Eqp,,1001,15000,0,A,,
D000000457,Corning Inc,Misc Mfg/Distrib,,1001,15000,0,A,Y,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,A,Y,Y
"",Celera Corp,Unknown,,1001,15000,0,A,,
D000000090,Bank of America,Commercial Banks,,1001,15000,0,A,Y,Y
D000000391,Amgen Inc,Pharm/Health Prod,,1001,15000,0,A,Y,
"",Ameritrade Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
D000023796,Airtran Holdings,Air Transport,,1001,15000,0,A,Y,
D000000881,Time Warner Cable,TV/Movies/Music,,1,1000,0,A,Y,
"",Talk Visual Corp,Unknown,,1,1000,0,A,,
D000029280,Sun Microsystems,Electronics Mfg/Eqp,,1,1000,0,A,,
D000054859,Nuance Communications,Electronics Mfg/Eqp,,1,1000,0,A,Y,
"",Kodak,Unknown,,1,1000,0,A,,
D000044927,Internet Capital Group,Securities/Invest,,1,1000,0,A,,Y
D000000071,Citigroup Inc,Commercial Banks,,1,1000,0,A,Y,Y
"",Celldex Therapeutics,Unknown,,1,1000,0,A,,
D000031610,Ariba Inc,Electronics Mfg/Eqp,,1,1000,0,A,,
D000021701,AOL LLC,Internet,,1,1000,0,A,,
D000000157,American Airlines,Air Transport,,1,1000,0,A,,
"",Adamis Pharmaceuticals,Pharm/Health Prod,,1,1000,0,A,,
