orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Income Fund of America,Unknown,Mutual Fund,17003,80000,0,A,,
D000000125,General Electric,Misc Mfg/Distrib,,15001,50000,0,A,Y,Y
D000021757,Berkshire Hathaway,Securities/Invest,,15001,50000,0,A,Y,Y
"",American Funds Growth Fund of America,Unknown,Mutual Fund,3003,45000,0,Y,,
"",Europacific Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Small Cap World Fund,Unknown,Mutual Fund,1001,15000,0,A,,
D000000658,Pinnacle West Capital,Electric Utilities,,1001,15000,0,A,Y,
"",M Balanced Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",College Savings of NE Fund 60 Age Based,Unknown,Mutual Fund,1001,15000,0,A,,
"",College Savings of NE Fund 20 Age Based,Unknown,Mutual Fund,1001,15000,0,A,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Capital World Growth & Fund Inc,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Bank Sweep,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",American Mutual Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Capital Word Growth & Inc,Unknown,Mutual Fund,1,1000,0,A,,
