orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Janus Balanced Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Franklin Federal Interm-Term T/F Inc Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Steadfast Income REIT,Real Estate,,15001,50000,0,Y,,
"",Pimco All Asset Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Congressional Federal Credit Union Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Age Based 7-10 Years A CUSIP 83754Q544,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Schwab Us Treasury Money Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",First Eagle Gold I,Unknown,Mutual Fund,2002,30000,0,Y,,
"","Wells Fargo(Sioux Falls, South Dakota)/Savings",Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"","Wells Fargo(Sioux Falls, SD)/Checking",Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Sprott Physical Gold Trust ETV,Mining,,1001,15000,0,Y,,
"",Scout Mid Cap (NASDAQ),Unknown,Mutual Fund,1001,15000,0,Y,,
"",Schwab US Broad Market ETF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oakmark Global I,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oakmark Equity & Income I (NASDAQ),Unknown,Mutual Fund,1001,15000,0,Y,,
"",Integrity Williston Basin/Md-N Amer,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Franklin Natural Resources Fund,Misc Energy,,1001,15000,0,Y,,
"",First Eagle Global Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Doubleline Total Return Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000024778,CHS Inc,Agricultural Svcs,,1001,15000,0,Y,Y,Y
"",AMG Yacktman Focused Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",BlackRock Global Allocation Fund,Securities/Invest,Mutual Fund,0,2000,0,Y,,
"",MainStay Marketfield I (NASDAQ),Unknown,Mutual Fund,0,1000,0,Y,,
