orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Portfolio 21,Unknown,"Brokerage, IRA, 401k",65002,150000,0,Y,,
"",Schwab Money Market,Unknown,Cash/Money Market/Savings/Checking,51002,115000,0,Y,,
"",Sector SPDR Consumer Staple ETF,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Schwab Govt Money Market,Unknown,Cash/Money Market/Savings/Checking,30002,100000,0,Y,,
"",Parnassus Mid Cap Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Matthews Asia Pacific Equity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,50001,100000,0,Y,,
"",iShares DSI,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Lacerte Guardian Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",JPMorgan Highbridge Stat Mkt Neut Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",iShares MSCI Germany Index,Misc Finance,Mutual Fund,16002,65000,0,Y,,
"",iShares MSCI Canada Index,Unknown,Mutual Fund,16002,65000,0,Y,,
"",iShares Cohen & Steers ICF,Unknown,Mutual Fund,16002,65000,0,Y,,
"",AQR Managed Futures Fund,Unknown,,16002,65000,0,Y,,
"",American Century Inflation-Adjusted Bond,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Woodshire Gardens Assoc,Unknown,,15001,50000,0,Y,,
"",Virginia Multi-Family Holdings LLC,Unknown,,15001,50000,0,Y,,
"",Vanguard Health Care Fund,Misc Health,,15001,50000,0,Y,,
"",Streettracks Gold Trust ETF,Mining,Mutual Fund,15001,50000,0,Y,,
"",Schwab Advantage Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000000398,Progress Energy,Electric Utilities,,15001,50000,0,Y,Y,Y
"",Parnassus Small Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares Tech-Software,Unknown,Mutual Fund,15001,50000,0,Y,,
"",HG Value Add Multi-Family Holdings LLC,Unknown,,15001,50000,0,Y,,
"",HG Shadowbriar Holdings,Unknown,,15001,50000,0,Y,,
"",HG Norfolk Holdings LLC,Unknown,,15001,50000,0,Y,,
"",GE Money Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Bella Madera Gardens Assoc,Unknown,,15001,50000,0,Y,,
"",Bank of America/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",iShares MSCI Australia Index,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Schwab Value Advantage Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Plainscapital Bank/CD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Kingman Station LP,Real Estate,,1001,15000,0,Y,,
"",Ally Bank/CD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Alexandrite Sands LP,Real Estate,,1001,15000,0,Y,,
"",iShares Barclays Aggregate Bond Fund,Unknown,Government Bond,0,1000,0,Y,,
