orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Columbia Capital Investors III LLC,Securities/Invest,,11750007,53500000,0,Y,,
"",DB AB Cash Reserve Prime Series MM,Unknown,Cash/Money Market/Savings/Checking,5252004,25530000,0,Y,,
"",Priority Value Partners,Securities/Invest,,5000001,25000000,0,Y,,
"",DB Money Market,Unknown,Cash/Money Market/Savings/Checking,5000001,25000000,0,Y,,
"",3X-10 Capital Partners (QP) LP,Securities/Invest,,5000001,25000000,0,Y,,
"",MGE LLC,Unknown,,3000003,15000000,0,Y,,
"",Golden Mean Investment Fund,Unknown,Mutual Fund,2000002,10000000,0,Y,,
"",Columbia Capital Equity Partners IV LP,Securities/Invest,,2000002,10000000,0,Y,,
"",Ramsey Best Ideas Fund LP,Securities/Invest,,3000005,9000000,0,Y,,
"",Alexandria NBIS Investors,Securities/Invest,,1080004,5200000,0,Y,,
"",Longleaf Partners Mutual Fund,Unknown,Mutual Fund,1050002,5100000,0,Y,,
"",Winston Growth Fund,Unknown,,1000001,5000000,0,Y,,
"",Updata Partners III LP,Securities/Invest,,1000001,5000000,0,Y,,
"",Tucker Anthony Private Equity Fund III,Securities/Invest,,1000001,5000000,0,Y,,
"",Sire Global Partners,Securities/Invest,,1000001,5000000,0,Y,,
"",Signature Financial Management II LP,Securities/Invest,,1000001,5000000,0,Y,,
"",Salzman Onshore LP,Unknown,,1000001,5000000,0,Y,,
"",Rex Capital RuNet Investors,Unknown,,1000001,5000000,0,Y,,
"",Pointer QP LP,Securities/Invest,,1000001,5000000,0,Y,,
"",MRW Biotech Investors,Unknown,,1000001,5000000,0,Y,,
"",Minnesota Mutual Life Insurance Policy,Unknown,Insurance policies & Annuities,1000001,5000000,0,Y,,
"",JPMorgan Federal Money Market Fund,Unknown,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",Highbridge Capital LP Investment Fund,Securities/Invest,Mutual Fund,1000001,5000000,0,Y,,
"",Columbia Capital Corp,Unknown,,1000001,5000000,0,Y,,
"",Cash Management Trust of America,Unknown,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",Blackfish Investments,Securities/Invest,,1000001,5000000,0,Y,,
"",AP Europe VII LP,Securities/Invest,,1000001,5000000,0,Y,,
"",3Steel Partners II LP,Steel Production,,1000001,5000000,0,Y,,
"",3Hound Partners 3c7 LP,Unknown,,1000001,5000000,0,Y,,
"",Virginia State Bond,Unknown,Government Bond,1000002,2005000,0,Y,,
"",Virginia Rfdg Bond,Unknown,Government Bond,750002,1500000,0,Y,,
"",Virginia College Bldg Auth VA Facs Bond,Unknown,Government Bond,750002,1500000,0,Y,,
"","Roanoke, VA Public Improvement Bond",Unknown,Government Bond,750002,1500000,0,Y,,
"",Apollo Value Investment Fund LP,Securities/Invest,,615003,1300000,0,Y,,
"",Virginia PBA Pub Facs Rev Bond,Unknown,Government Bond,600002,1251000,0,Y,,
"",Virginia PBA Sch Fing 1997 Bond,Unknown,Government Bond,600002,1250000,0,Y,,
"",Hampton VA Rfdg & Pub Impvt Bond,Unknown,Government Bond,600002,1250000,0,Y,,
"",Columbia Partners Business Trust,Unknown,,600002,1250000,0,Y,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,600002,1250000,0,Y,,
"",Virginia CBA Educational Facilities Bond,Unknown,Government Bond,500002,1001000,0,Y,,
"",Virginia Transportation Board Rt 28 Bond,Unknown,Government Bond,500001,1000000,0,Y,,
"",Vantium,Unknown,Government Bond,500001,1000000,0,Y,,
"",Trilliant Networks,Unknown,,500001,1000000,0,Y,,
D000063427,Skyline Corp,Home Builders,Government Bond,500001,1000000,0,Y,,
"",Prestige Cruise Holdings,Unknown,Government Bond,500001,1000000,0,Y,,
"","Norfolk, VA Capital Improvement Bond",Unknown,Government Bond,500001,1000000,0,Y,,
"","Newport News, VA Int Bond",Unknown,Government Bond,500001,1000000,0,Y,,
"",Mid-Ocean III Private Investors,Unknown,,500001,1000000,0,Y,,
"",Jefferson Capital Partners II LP,Securities/Invest,,500001,1000000,0,Y,,
D000034814,JBG/Fund VI Qualified Investor LLC,Real Estate,,500002,1000000,0,Y,,Y
"","Debt Securities, New York, NY Various",Unknown,Government Bond,500001,1000000,0,Y,,
"",Columbia Capital Investors LLC,Securities/Invest,,500001,1000000,0,Y,,
"",Columbia Capital Equity Partners III LP,Securities/Invest,,500002,1000000,0,Y,,
"","Chesapeake, VA Rfdg Water & Sewer Bond",Unknown,Government Bond,500001,1000000,0,Y,,
"",Capital World IRA,Unknown,"Brokerage, IRA, 401k",500001,1000000,0,Y,,
"","Henrico Cnty, VA Public Improvement OID",Unknown,Government Bond,350002,751000,0,Y,,
"",Virginia State Res Auth Infrastructure,Unknown,Government Bond,350002,750000,0,Y,,
"",NeuroVentures Fund,Securities/Invest,,300004,700000,0,Y,,
"","Henrico County, VA Rfdg & Pub Impvt Bond",Unknown,Government Bond,250001,501000,0,Y,,
"",Washington Mutual Investors Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Virginia Resource Auth Infrast Rev Bond,Unknown,Government Bond,250001,500000,0,Y,,
"",Virginia PSA Sch Fing Bond,Unknown,Government Bond,250001,500000,0,Y,,
"",Virginia Commerce Bank/CD,Unknown,Cash/Money Market/Savings/Checking,200002,500000,0,Y,,
"",Updata Venture Partners II B LP,Securities/Invest,,200002,500000,0,Y,,
"",Updata Partners IV LP,Securities/Invest,,250001,500000,0,Y,,
"","Stafford County, VA Water & Sewer Bond",Unknown,Government Bond,250001,500000,0,Y,,
"","Richmond, VA Ser B FSA Bond",Unknown,Government Bond,250001,500000,0,Y,,
"",Private Investments Liquidating Trust,Misc Finance,,250001,500000,0,Y,,
"","Loudoun County, VA G/O Public Impvt Bond",Unknown,Government Bond,250001,500000,0,Y,,
"",JPMorgan Annual Review Note,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Jefferson Capital Partners I LP,Securities/Invest,,250001,500000,0,Y,,
"",Fairfax County VA Wtr Auth Wtr Rev Bond,Unknown,Government Bond,250001,500000,0,Y,,
"",Fairfax County VA Bond,Unknown,Government Bond,250001,500000,0,Y,,
"",Ervest II LLC,Unknown,,200002,500000,0,Y,,
"",Consolidated Bank & Trust/CD,Unknown,Cash/Money Market/Savings/Checking,200002,500000,0,Y,,
"",CCMP Capital Investors II LLC,Securities/Invest,,250001,500000,0,Y,,
"","Arlington County, VA Pub Impvt Bond",Unknown,Government Bond,250001,500000,0,Y,,
