orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Xenonics,Unknown,,500001,1000000,0,Y,,
"",Tribco LLC,Publishing,,250001,500000,0,Y,,
"",Nationwide Financial IRA,Unknown,"Brokerage, IRA, 401k",30002,100000,0,Y,,
"",PIMCO Real Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Merger Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000050777,Family Management Corp,Securities/Invest,,15001,50000,0,Y,,
"",Pershing/Alliance Cash/Money Market Govt,Unknown,Cash/Money Market/Savings/Checking,2003,31000,0,Y,,
D000044418,Sonus Networks,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",Seligman Frontier Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Main St Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Melrose Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Calamos Market & Neutral Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Congressional Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Citibank Various Accounts,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
