orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Sourdough Mercantile,Unknown,,500001,1000000,0,Y,,
"",Hot Springs Ltd,Real Estate,,500001,1000000,0,Y,,
"",Carson City Holdings,Real Estate,,500001,1000000,0,Y,,
"",Carson City Holding LLC,Real Estate,,250001,500000,0,Y,,
"",Alaska Public Employee Retirement System,Unknown,"Brokerage, IRA, 401k",115002,300000,0,Y,,
"",AKUSA Bank A/C,Unknown,Cash/Money Market/Savings/Checking,101002,266000,0,Y,,
D000064520,Annaly Capital Management,Securities/Invest,,45003,150000,0,Y,,
D000025615,E*Trade Financial,Securities/Invest,,31003,115000,0,Y,,
"",Kobuk Coffee,Food & Beverage,,50001,100000,0,Y,,
"",KERYX Bio Pharmaceuticals,Unknown,,50001,100000,0,Y,,
"",Impac Mtg Holdings,Real Estate,,30002,100000,0,Y,,
D000000341,Rite Aid Corp,Retail Sales,,4004,60000,0,Y,Y,
D000042316,Regal Entertainment Group,TV/Movies/Music,,15001,50000,0,Y,,
"",New York Community Bank,Commercial Banks,,15001,50000,0,Y,,
"",National Bank of Greece,Commercial Banks,,15001,50000,0,Y,,
D000001024,Kraft Foods,Food Process/Sales,,15001,50000,0,Y,Y,
D000000805,KeyCorp,Commercial Banks,,15001,50000,0,Y,Y,
"",IMPASS,Unknown,,15001,50000,0,Y,,
"",Impac Mortgage,Unknown,,15001,50000,0,Y,,
"",Frontline LTD,Unknown,,15001,50000,0,Y,,
"",Excel Energy Inc,Unknown,,15001,50000,0,Y,,
"",Caribou Hills Subdivision,Real Estate,,15001,50000,0,Y,,
D000023834,Alcatel-Lucent,Telecom Svcs,,2002,30000,0,Y,Y,
D000000607,Xerox Corp,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
"",Wells Fargo Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Vanguard International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Quantum Fuel Sys Technologies Worldwide,Unknown,,1001,15000,0,Y,,
"",Plains All-American Pipeline,Unknown,,1001,15000,0,Y,,
"",Nokia Corp,Telecom Svcs,,1001,15000,0,Y,,
D000035530,Macerich Co,Real Estate,,1001,15000,0,Y,,
"",IPASS Inc,Internet,,1001,15000,0,Y,,
"",Gerdau SA,Unknown,,1001,15000,0,Y,,
"",Ed Plan Ages 6-8 years portfolio - M,Unknown,,1001,15000,0,Y,,
"",E*TRADE Financial Group,Unknown,Unknown,1001,15000,0,Y,,
"",E*TRADE Bank Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Denali FCU Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Begich Aparts DBA Commercial Investment,Unknown,,1001,15000,0,Y,,
"",Ambac Financial,Insurance,,1001,15000,0,Y,,
"",Alpine Dynamic Dividend,Unknown,,1001,15000,0,Y,,
"",Alaska Communication,Unknown,,1001,15000,0,Y,,
"",Acusphere Inc,Unknown,,1001,15000,0,Y,,
"",State of Alaska Permanent Dividend Fund,Unknown,Government Bond,0,3000,0,Y,,
D000000656,Westwood One,TV/Movies/Music,,0,2000,0,Y,,
D000000071,Citigroup Inc,Commercial Banks,,0,2000,0,Y,Y,Y
