orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Old Abe Capital/Commercial Bldg 37,Real Estate,,1000001,5000000,0,Y,,
"",JJR Properties/Apartment Building,Real Estate,,1000001,5000000,0,Y,,
"",Jimberg Partners,Real Estate,,1000001,5000000,0,Y,,
"",INREIT Properties LLLP,Real Estate,,1000001,5000000,0,Y,,
"",Case Plaza LLC,Real Estate,,1000001,5000000,0,Y,,
"",Amber Holdings/Commercial Building 1,Real Estate,,1000001,5000000,0,Y,,
"",Westwind Properties LLP,Real Estate,,800006,1700000,0,Y,,
"",TAG LLC,Unknown,,750002,1500000,0,Y,,
"",Wheelberg Partners LLP,Unknown,,500001,1000000,0,Y,,
"",Skyview Partners/Apt Bldgs 3 & 4,Unknown,,500001,1000000,0,Y,,
"",Ranch Equipment,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",500001,1000000,0,Y,,
"",Old Abe Capital/Commercial Bldg 8,Real Estate,,500001,1000000,0,Y,,
"",Old Abe Capital/Commercial Bldg 6,Real Estate,,500001,1000000,0,Y,,
"",Old Abe Capital/Commercial Bldg 43,Real Estate,,500001,1000000,0,Y,,
"",Old Abe Capital/Commercial Bldg 38,Real Estate,,500001,1000000,0,Y,,
"",Old Abe Capital/Commercial Bldg 22,Real Estate,,500001,1000000,0,Y,,
"",Old Abe Capital/Commercial Bldg 11,Real Estate,,500001,1000000,0,Y,,
"",Loan Receivable/Jesse Craig,Unknown,Note/Note Receivable,500001,1000000,0,Y,,
"",Kenwood-Rosewood Apartments LLC,Real Estate,,500002,1000000,0,Y,,
"",Fay Land Partners,Real Estate,,500001,1000000,0,Y,,
"","Farmland/Oliver County, ND",Crop Production,,500001,1000000,0,Y,,
"","Farmland/Benson County, ND",Crop Production,,500001,1000000,0,Y,,
"",Cattle,Livestock,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",500001,1000000,0,Y,,
"",1520 Partners LLP,Real Estate,,500001,1000000,0,Y,,
"",Westwind Properties II LLP,Real Estate,,300003,750000,0,Y,,
"",GF Corp,Unknown,,350002,750000,0,Y,,
"",State Bankshares,Commercial Banks,,250001,500000,0,Y,,
"",State Bank & Trust Accounts,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Skyview Partners/Apt Bldgs 1 & 2,Unknown,,250001,500000,0,Y,,
"",Red Gate Apartments LLP,Real Estate,,200002,500000,0,Y,,
"",Old Abe Capital/Commercial Bldg 42,Real Estate,,250001,500000,0,Y,,
"",Old Abe Capital/Commercial Bldg 40,Real Estate,,250001,500000,0,Y,,
"",Old Abe Capital/Commercial Bldg 39,Real Estate,,250001,500000,0,Y,,
"",Old Abe Capital/Commercial Bldg 34,Real Estate,,250001,500000,0,Y,,
"",Old Abe Capital/Commercial Bldg 33,Real Estate,,250001,500000,0,Y,,
"",Old Abe Capital/Commercial Bldg 32,Real Estate,,250001,500000,0,Y,,
"",Old Abe Capital/Commercial Bldg 28,Real Estate,,250001,500000,0,Y,,
"",Old Abe Capital/Commercial Bldg 25,Real Estate,,250001,500000,0,Y,,
"",Old Abe Capital/Commercial Bldg 19,Real Estate,,250001,500000,0,Y,,
"",Old Abe Capital/Commercial Bldg 18,Real Estate,,250001,500000,0,Y,,
