orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Clute Administrative Trust,Unknown,Mutual Fund,500001,1000000,0,A,,
"","720 Caesar Road/Picayune, MS",Real Estate,,100001,250000,0,A,,
"","266 Daisy Ave/Imperial Beach, CA",Unknown,,239000,239000,0,A,,
"","230 Ebony Ave/Imperial Beach, CA",Real Estate,,138000,138000,0,A,,
"",192 & 194 Ebony Ave/Imperial Beach CA,Unknown,,125000,125000,0,A,,
"",Checking Account Nifcu,Unknown,Cash/Money Market/Savings/Checking,115828,115828,0,A,,
"","829-831 10th Ave/Imperial Beach, CA",Unknown,,62000,62000,0,A,,
"","257 Ebony Ave/Imperial Beach, CA",Real Estate,,58000,58000,0,A,,
"","499 8th St/Imperial Beach, CA",Unknown,,52000,52000,0,A,,
"",San Diego Credit Union/SEP,Unknown,"Brokerage, IRA, 401k",15001,50000,0,A,,
"",Bilbray Tax Service,Misc Finance,,15001,50000,0,A,,
"",Hartford Capital Appreciation HLS Fund,Unknown,Mutual Fund,34234,34234,0,A,,
"",Nrwst Galilard Sib Value Obp,Unknown,Mutual Fund,33261,33261,0,A,,
"",USAA/SEP Not Self-Directed,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",USAA/IRA Not Self-Directed,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",USAA Mutual Funds Not Self-Directed,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",US Savings Bond,Unknown,Government Bond,1001,15000,0,A,,
"",San Diego County Credit Union/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",First National Bank of Picayune,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Congressional FCU/SEP (Cash),Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",SSGA S&P 500 Flagship Securities Lending,Unknown,Mutual Fund,14413,14413,0,A,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,11572,11572,0,A,,
"",American Funds Euro Pacific Growth Fund,Unknown,Mutual Fund,11549,11549,0,A,,
"",Oakmark Equity & Income Fund,Unknown,Mutual Fund,10263,10263,0,A,,
"",Hartford Dividend & Growth HLS,Unknown,Mutual Fund,9588,9588,0,A,,
"","3473 Cactus Valley Lane/Laughlin, NV",Real Estate,,8800,8800,0,A,,
"",Janus Twenty Fund,Unknown,Mutual Fund,4815,4815,0,A,,
"",USAA Funds (2) Not Self Directed,Unknown,Mutual Fund,1020,1020,0,A,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,523,523,0,A,,
