orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard Inflation-Protected Securitie Mutual Fund,Unknown,Mutual Fund,500001,1000000,0,Y,,
D000045801,US Bank,Commercial Banks,,250001,500000,0,Y,,
"",MFS International Value Fund,Unknown,Mutual Fund,150002,350000,0,Y,,
"",Ameriprise cash holding,Unknown,Cash/Money Market/Savings/Checking,115002,300000,0,Y,,
"",Western Asset Intermediate Term Municipals Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard REIT Index mutual fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Prime Cap Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Healthcare Fund,Misc Health,,100001,250000,0,Y,,
"",Vanguard Global Ex-US Real Estate Fund,Real Estate,,100001,250000,0,Y,,
"",Vanguard Capital Opportunity Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard 500 Index Signal,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Oregon State Dept of Admin Services Municipal Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Northwestern Mutual Life Insurance policy,Unknown,Insurance policies & Annuities,100001,250000,0,Y,,
"",Columbia Large Growth Quantitative Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Columbia Large Cap Growth Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Active Portfolio Multi Manager Value Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Wells Fargo Advantage Municipal Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Wells Fargo Advantage Emerging Markets Equity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Vanguard European Stock Index mutual fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Energy Fund,Unknown,,50001,100000,0,Y,,
"",Vanguard Emerging Markets Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Oppenheimer International Growth Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Gold Coins,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",50001,100000,0,Y,,
"",Columbia Small Cap Core Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Wells Fargo Advantage Special Mid Cap Value,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Wells Fargo Advantage Short Term Municipal Bond Fd,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Suzanne's Personal Assets OnPoint Community Credit,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Samuel French Inc,TV/Movies/Music,,15001,50000,0,Y,,
"",Prudential Jennison Mid Cap Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Michael H Simon Royalties International Authors S,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",15001,50000,0,Y,,
"",MFS Emerging Markets Debt Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",JP Morgan Strategic Income Opportunities Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Deutsche Global Real Estate Securities Fund,Real Estate,,15001,50000,0,Y,,
"",Tams-Witmark Music Library,Unknown,,1001,15000,0,Y,,
"",Innsmouth Partners LLC,Unknown,,1001,15000,0,Y,,
