orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Boren Ranch LLC,Livestock,,600002,1250000,0,Y,,
"",LOCL Red River Pine LLC,Unknown,,250001,500000,0,Y,,
"",Land Oil Co,Oil & Gas,,250001,500000,0,Y,,
"",Scudder Total Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",LOCL,Unknown,,15001,50000,0,Y,,
"",Ava O Ltd,Misc Energy,,15001,50000,0,Y,,
"",American Bank of Oklahoma/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",First National Bank of Wewoka,Commercial Banks,Cash/Money Market/Savings/Checking,1002,16000,0,Y,,
"",Retirement accounts MFS SFPTR1 Strategic,Unknown,Mutual Fund,1001,15000,0,Y,,
"",LOCL-note recievable from JB Coleman,Unknown,Note/Note Receivable,1001,15000,0,Y,,
"","LOCL real estate/Ada, OK",Real Estate,,1001,15000,0,Y,,
"",First United Bank tax Account/LPL,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",BancFirst/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Chinn Exploration Co,Oil & Gas,,1,1000,0,Y,,
