orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Royce Total Return Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",Royce Special EQ Multicap Cons,Unknown,Mutual Fund,50001,100000,0,A,,
"",Redstone Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,A,,
"",Retirement Systems of Alabama,Unknown,"Brokerage, IRA, 401k",16002,65000,0,A,,
"",WP Carey Inc REIT,Real Estate,Mutual Fund,15001,50000,0,A,,
"",Tenn Valley Authority Bond,Unknown,Government Bond,15001,50000,0,A,,
"",Sch Wts GO Bond,Unknown,Government Bond,15001,50000,0,A,,
"",Royce Global Value Fund Consultant Class,Unknown,Mutual Fund,15001,50000,0,A,,
"",Royce Fund Mutual Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Brd Ed Spl Tax Sch Bond,Unknown,Government Bond,15001,50000,0,A,,
"",Managers AMG Yacktman Fund,Unknown,Mutual Fund,2002,30000,0,A,,
D000000477,Duke Energy,Electric Utilities,,2002,30000,0,A,Y,
"",Seadrill Partners,Unknown,,1001,15000,0,A,,
"",RS Large Cap Alpha Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"","Pike Road, AL OID",Unknown,,1001,15000,0,A,,
"",New Senior Investment Group,Unknown,,1001,15000,0,A,,
"",New Media Investment Group,Unknown,,1001,15000,0,A,,
"",MS Liquid Asset Fund,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Morgan Stanley Private Bank NA,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
D000000106,Morgan Stanley,Securities/Invest,,1001,15000,0,A,Y,
"",Legg Mason Opportunity Trust,Unknown,Mutual Fund,1001,15000,0,A,,
"",Inteliquent Inc,Unknown,,1001,15000,0,A,,
"",Huntsville-Redstone Village Bonds,Unknown,Government Bond,1001,15000,0,A,,
"",Duke Capital Corp,Unknown,,1001,15000,0,A,,
"",Digirad Corp,Unknown,,1001,15000,0,A,,
"",Columbia Contrarian Core Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Clearbridge Special Inv,Unknown,Mutual Fund,1001,15000,0,A,,
D000067523,Charles Schwab & Co,Securities/Invest,,1001,15000,0,A,,
"",Brd Sch Commrs Cap Bond,Unknown,Government Bond,1001,15000,0,A,,
"",Brd Ed Spl Tax Sch Wts Rev Bond,Unknown,Government Bond,1001,15000,0,A,,
"",Brd Ed Cap Outlay Bond,Unknown,Government Bond,1001,15000,0,A,,
"",Board of Ed Bond,Unknown,Government Bond,1001,15000,0,A,,
"",Ave Maria Rising Dividend Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Amern Vlg Pub Edl Bldg A OID,Unknown,Government Bond,1001,15000,0,A,,
"",American New Perspective,Unknown,Mutual Fund,1001,15000,0,A,,
"",Oakmark Fund,Unknown,Mutual Fund,1,1000,0,A,,
"",Newcastle Investment Corp,Securities/Invest,,1,1000,0,A,,
