orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",PIMCO RealReturn Fund,Unknown,Mutual Fund,68005,195000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,67004,180000,0,Y,,
"",First Eagle Overseas Fund,Unknown,Mutual Fund,66003,165000,0,Y,,
"",Spartan US Bond Index,Unknown,Mutual Fund,65002,150000,0,Y,,
"",Sound Shore Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Old National Bank Account,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Fidelity Diversified International Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Fairholme Funds,Unknown,Unknown,50001,100000,0,Y,,
"",Spartan Extended Market Index,Unknown,,16002,65000,0,Y,,
"",Perkins Mid Cap Value Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Lazard Emerging Markets Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Schwab Muni Money Fund,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",PIMCO Foreign Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PIMCO All Asset Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Marsico Flexible,Unknown,Mutual Fund,15001,50000,0,Y,,
"",First Eagle Gold Fund,Mining,,15001,50000,0,Y,,
"",Eaton Large Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Davis New York Venture Fund,Securities/Invest,Mutual Fund,15001,50000,0,Y,,
D000021757,Berkshire Hathaway,Securities/Invest,,15001,50000,0,Y,Y,
D000021754,Apple Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",Neuberger Berman Genesis Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Harbor Mid Cap Growth Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",American Funds EuroPacific Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Victory Diversified Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Small Cap Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Institutional Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Scout International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Primecap Odyssey Aggressive,Unknown,,1001,15000,0,Y,,
"",PIMCO Emerging Markets Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oakmark Equity & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Invs Value II A Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000085,Goldman Sachs,Securities/Invest,,1001,15000,0,Y,Y,
"",Fidelity Dividend Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Aberdeen Emerging Markets Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TAP Instl Mid Value Fund,Unknown,Mutual Fund,1,1000,0,Y,,
