orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",CREF Stock Fund,Unknown,Mutual Fund,250001,500000,0,O,,
"",Vanguard Target 2015 Inv,Unknown,Mutual Fund,115002,300000,0,O,,
"",Vanguard Total Bond,Unknown,Mutual Fund,100001,250000,0,O,,
D000059660,United Bank,Commercial Banks,Cash/Money Market/Savings/Checking,100001,250000,0,O,,
"",TIAA Traditional Fund,Unknown,"Brokerage, IRA, 401k",100001,250000,0,O,,
"",SunTrust Banks Mutual Fund,Unknown,Mutual Fund,100001,250000,0,O,,
"",Leidos Holdings,Unknown,,100001,250000,0,O,,
"",House,Unknown,,100001,250000,0,O,,
D000000335,Dominion Resources,Electric Utilities,,100001,250000,0,O,Y,Y
"",Defined Contribution Plan,Unknown,Mutual Fund,51002,115000,0,O,,
"",Science Applications International Corp,Unknown,,50001,100000,0,O,,
"",Fairfax County Retirement Fund Employee,Unknown,"Brokerage, IRA, 401k",50001,100000,0,O,,
"",CREF Growth Fund,Unknown,Mutual Fund,50001,100000,0,O,,
D000000149,Bristol-Myers Squibb,Pharm/Health Prod,,50001,100000,0,O,Y,
"",Met Life Insurance Policy Cash Value,Unknown,Insurance policies & Annuities,17003,80000,0,O,,
"",Wells Fargo Advantage Utilities & High Income Fu,Unknown,Mutual Fund,15001,50000,0,O,,
"",Vanguard Inflation-Protected Securities Fund,Unknown,Mutual Fund,15001,50000,0,O,,
"",US Senate Federal Credit Union IRA,Unknown,"Brokerage, IRA, 401k",15001,50000,0,O,,
"",SAIC Closed Stock Fund,Unknown,Mutual Fund,15001,50000,0,O,,
D000067120,SAIC,Defense Electronics,,15001,50000,0,O,Y,Y
D000000275,Merck & Co,Pharm/Health Prod,,15001,50000,0,O,Y,Y
"",LEIDOS Common Stock Fund,Unknown,Mutual Fund,15001,50000,0,O,,
"",LEIDOS Closed Stock Fund,Unknown,Mutual Fund,15001,50000,0,O,,
"",Hotchkis & Wiley Large Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,O,,
"",CREF Global Equities Fund,Unknown,Mutual Fund,15001,50000,0,O,,
"",Congressional Federal Credit Union Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,O,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,15001,50000,0,O,,
D000058827,Zimmer Holdings,Pharm/Health Prod,,1001,15000,0,O,Y,
D000019743,Wells Fargo,Commercial Banks,,1001,15000,0,O,Y,
D000000128,Walt Disney Co,TV/Movies/Music,,1001,15000,0,O,Y,
"",Vanguard REIT Index,Real Estate,,1001,15000,0,O,,
"",US Senate Federal Credit Union/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,O,,
"",TIAA CREF Money Market,Unknown,Mutual Fund,1001,15000,0,O,,
"",Rockland Trust,Commercial Banks,"Brokerage, IRA, 401k",1001,15000,0,O,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,1001,15000,0,O,Y,Y
D000028396,PNC Bank Corp,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,O,,
D000000355,Motorola Solutions,Telecom Svcs,,1001,15000,0,O,Y,
"",iShares Core S&P SmallCap 600 Index Fund,Unknown,Mutual Fund,1001,15000,0,O,,
D000021977,Express Scripts,Health Services,,1001,15000,0,O,Y,
"",Eaton Vance Flt-rt Inc Income Trust,Unknown,Mutual Fund,1001,15000,0,O,,
"",CREF Social Choice Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",CREF Bond Market Fund,Unknown,Mutual Fund,1001,15000,0,O,,
D000000212,Coca-Cola Co,Food & Beverage,,1001,15000,0,O,Y,
"",Calamos Growth Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",Blackrock Global Allocation Fund,Securities/Invest,Mutual Fund,1001,15000,0,O,,
"",American Funds Capital World Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",American Capital World Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,O,,
