orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Endowment (Domestic QP) Fund Lp,Securities/Invest,,1910038,1910038,0,C,,
"",Fidelity Tax Free Money Market,Unknown,Cash/Money Market/Savings/Checking,1294270,1294270,0,C,,
"",Telemus Income Opportunity Fund,Securities/Invest,,871437,871437,0,C,,
"",Fidelity Instl Money market,Unknown,Cash/Money Market/Savings/Checking,801259,801259,0,C,,
"",Morgan Creek Opportunity Fund,Unknown,Mutual Fund,520468,520468,0,C,,
"",Standard Renewable Energy Group,Unknown,,250001,500000,0,N,,
"",Sanders Opportunity Fund,Unknown,Mutual Fund,250001,500000,0,N,,
D000036677,Phoenix Exploration,Oil & Gas,,250001,500000,0,N,,Y
"",IVA Worldwide Fund,Unknown,Mutual Fund,447720,447720,0,C,,
"",Prime Fund Daily Money Market,Unknown,Cash/Money Market/Savings/Checking,378556,378556,0,C,,
"",Wells Fargo Short Term Muni Bond Fund,Unknown,Mutual Fund,259403,259403,0,C,,
"",TPH Partners,Securities/Invest,,100001,250000,0,N,,
"",Loan/Bill Flores for Congress Campaign,Unknown,Note/Note Receivable,100001,250000,0,N,,
"",Regency Energy Partners,Oil & Gas,,217880,217880,0,C,,
"",Western Gas Partners,Oil & Gas,,214390,214390,0,C,,
"",Encore Energy Partners,Oil & Gas,,202520,202520,0,C,,
"",Energy Transfer Equity LP,Oil & Gas,,201828,201828,0,C,,
"",SPDR Gold Trust ETF,Mining,,193158,193158,0,C,,
"",Teekay Lng Partners,Unknown,,166654,166654,0,C,,
"",Fidelity Cash Reserve Fund,Unknown,Cash/Money Market/Savings/Checking,127506,127506,0,C,,
D000055757,Protonex Technology,Unknown,,15001,50000,0,N,Y,
D000000089,Fedex Corp,Air Transport,,45386,45386,0,C,Y,
D000001065,GE Capital,Finance/Credit,,42523,42523,0,C,,
D000000461,Comcast Corp,Telecom Svcs,,37692,37692,0,C,Y,
D000000391,Amgen Inc,Pharm/Health Prod,,37680,37680,0,C,Y,
"",Loomis Sayles Invst Grade Bond,Unknown,Mutual Fund,37562,37562,0,C,,
D000000212,Coca-Cola Co,Food & Beverage,,37454,37454,0,C,Y,
"",Allied Waste North America,Unknown,,36537,36537,0,C,,
"",TCW Total Return Bond Fund,Unknown,Mutual Fund,35080,35080,0,C,,
D000000648,RR Donnelley & Sons,Publishing,,35010,35010,0,C,Y,
"",iShares Iboxx$,Unknown,Mutual Fund,34586,34586,0,C,,
D000000184,Bear Stearns,Securities/Invest,,33518,33518,0,C,,
"",Rogers Cable,TV/Movies/Music,,32863,32863,0,C,,
D000000303,ConocoPhillips,Oil & Gas,,32863,32863,0,C,Y,Y
"",Fannie Mae security,Securities/Invest,,31848,31848,0,C,,
D000028499,Quest Diagnostics,Health Services,,27027,27027,0,C,Y,
"",Proshares Ultrashort Lehman Treasury,Unknown,Mutual Fund,22816,22816,0,C,,
"",SPDR Barclays Cap Hi Yield,Unknown,Mutual Fund,15960,15960,0,C,,
"",iShares Barclays Treasury Inflation Prot,Unknown,Mutual Fund,15890,15890,0,C,,
"",JPMorgan High Yield Bond Fund,Unknown,Mutual Fund,15260,15260,0,C,,
"",Wells Fargo Accounts,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",Amergy Bank of Texas Accounts,Unknown,"Brokerage, IRA, 401k",1001,15000,0,N,,
"",Trulite Inc,Unknown,,1,1000,0,N,,
