orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000000485,Procter & Gamble,Misc Mfg/Distrib,,6115004,30300000,0,Y,Y,
D000000720,IBM Corp,Electronics Mfg/Eqp,,1100002,5250000,0,Y,Y,
"",Peapack Gladstone Bank/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",Daily Income Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Templeton Global Bond Fund,Unknown,Mutual Fund,750002,1500000,0,Y,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,502003,1030000,0,Y,Y,Y
"",Franklin Intl Small Cap Growth ADV,Unknown,Mutual Fund,500002,1000000,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,400003,850000,0,Y,Y,
D000019828,Emerson Electric,Misc Mfg/Distrib,,250003,600000,0,Y,Y,
D000000118,Union Pacific Corp,Railroads,,215003,550000,0,Y,Y,
D000066804,Abbvie Inc,Pharm/Health Prod,,215003,550000,0,Y,Y,
D000000383,Abbott Laboratories,Pharm/Health Prod,,215003,550000,0,Y,Y,
"",Tortoise Energy Infrastructure,Misc Energy,,200002,500000,0,Y,,
D000030442,TJX Companies,Retail Sales,,250001,500000,0,Y,,
"",Thomas White International Fund,Unknown,Mutual Fund,200002,500000,0,Y,,
D000037533,Sherwin-Williams Co,Chemicals,,250001,500000,0,Y,,
"",Rattlesnake Mountain LLC,Real Estate,,250001,500000,0,Y,,
"",Pimco Enhanced Short Term Maturity ETF,Unknown,Mutual Fund,200002,500000,0,Y,,
"",Pall Corp,Misc Mfg/Distrib,,250001,500000,0,Y,,
"",Pacific Life/Whole Life Insurance,Unknown,Insurance policies & Annuities,250001,500000,0,Y,,
"",Mainstay Marketfield Fund,Unknown,Mutual Fund,200002,500000,0,Y,,
D000000207,Loews Corp,Insurance,,250001,500000,0,Y,Y,
"",iShares Barclays 1-3 Year Credit Bond Fund,Unknown,Mutual Fund,200002,500000,0,Y,,
D000000166,Eli Lilly & Co,Pharm/Health Prod,,250001,500000,0,Y,Y,Y
D000032528,Chicago Bridge & Iron,Construction Svcs,,250001,500000,0,Y,Y,Y
D000032432,Celgene Corp,Pharm/Health Prod,,250001,500000,0,Y,Y,Y
"",Buffalo International Fund,Unknown,Mutual Fund,200002,500000,0,Y,,
"",Allianz NFJ International Value Fund,Unknown,Mutual Fund,200002,500000,0,Y,,
"",17.923 Acres unimproved land,Real Estate,,250001,500000,0,Y,,
D000022008,Google Inc,Internet,,165003,400000,0,Y,Y,
D000021754,Apple Inc,Electronics Mfg/Eqp,,165003,400000,0,Y,Y,
D000055403,Philip Morris International,Tobacco,,150002,350000,0,Y,Y,
D000000200,PepsiCo Inc,Food & Beverage,,150002,350000,0,Y,Y,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,150002,350000,0,Y,,
"",Highland Long Short Equity Fund,Unknown,Mutual Fund,150002,350000,0,Y,,
D000037414,Schlumberger Ltd,Oil & Gas,,115002,300000,0,Y,,
D000000015,Chevron Corp,Oil & Gas,,115002,300000,0,Y,Y,
D000019743,Wells Fargo,Commercial Banks,,100001,250000,0,Y,Y,Y
D000029636,Varian Medical Systems,Pharm/Health Prod,,100001,250000,0,Y,Y,
"",Vanguard Natural Resources,Oil & Gas,,100001,250000,0,Y,,
"",Unimproved land/235.8 acres,Real Estate,,100001,250000,0,Y,,
"",Third Avenue Focused Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
D000029206,Stericycle Inc,Waste Management,,100001,250000,0,Y,Y,
D000042525,Royal Dutch Shell,Oil & Gas,,100001,250000,0,Y,Y,
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,100001,250000,0,Y,Y,
"",Peapack Gladstone Financial,Misc Finance,,100001,250000,0,Y,,
