orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",REC Resources,,,250001,500000,0,O,,
"",Seligman Communications,Unknown,,100001,250000,0,O,,
"",Loomis Sayles Strategic Income Fund,,Mutual Fund,100001,250000,0,O,,
"",Delannie Value Fund Class A 401k,,Mutual Fund,100001,250000,0,O,,
"","BNC Bank Roanoke, VA Checking",,Cash/Money Market/Savings/Checking,100001,250000,0,O,,
"",Blackrock Equity TR,,Mutual Fund,100001,250000,0,O,,
"",BIF Money Fund 401k,,Mutual Fund,100001,250000,0,O,,
"",T Rowe Price Int Stock Fund,,Mutual Fund,65002,150000,0,O,,
"","BNC Bank Roanoke, VA CD",,Cash/Money Market/Savings/Checking,65002,150000,0,O,,
"",Virginia Commonwealth HETH STS Auth Rev B/E PTC,,Government Bond,50001,100000,0,O,,
"",Templeton Global Bond FDC,,Mutual Fund,50001,100000,0,O,,
"",Putnam Equity Spectrum Fund C/F 401k,,Mutual Fund,50001,100000,0,O,,
"",Prudential Global Real Estate Fund 401k,,Mutual Fund,50001,100000,0,O,,
"",New Persp Fund 401k,,Mutual Fund,50001,100000,0,O,,
"",Loomis Sayles Invt Grade Bond fund,,Mutual Fund,50001,100000,0,O,,
"",Janus Fund IRA,,Mutual Fund,50001,100000,0,O,,
"",Ivestment Company of America,,Mutual Fund,50001,100000,0,O,,
"",Harrisburg VA Ind Desc Ath Hosp Rev Emb B/E,,Government Bond,50001,100000,0,O,,
"",First Eagle Global Fund,,Mutual Fund,50001,100000,0,O,,
"",First Citreons Bank,,Cash/Money Market/Savings/Checking,50001,100000,0,O,,
"",Davis NY Venture A 401k,,Mutual Fund,50001,100000,0,O,,
"",Davenport Prime Cash Trust,,Cash/Money Market/Savings/Checking,50001,100000,0,O,,
"",Columbia Convertible Sec Fund Inv A,,Mutual Fund,50001,100000,0,O,,
"",Bond Fund of America,,Mutual Fund,50001,100000,0,O,,
"",Blackrock Large Cap Value Investment CIA,,Mutual Fund,50001,100000,0,O,,
"",Blackrock Global IRA,,"Brokerage, IRA, 401k",50001,100000,0,O,,
"",American Funds Capital Income Builder,,Mutual Fund,50001,100000,0,O,,
"",America Fund Tax Exempt Bond,,Government Bond,50001,100000,0,O,,
"","SunTrust Bank, Roanoke, Virginia IRA",,"Brokerage, IRA, 401k",16002,65000,0,O,,
"",Wells Fargo Adv Emerging Markets,,Mutual Fund,15001,50000,0,O,,
"",Templeton Foreign Fund IRA,,Mutual Fund,15001,50000,0,O,,
"",Suffolk VA RFDC B/E Bond,,Government Bond,15001,50000,0,O,,
"",Prudential Jennison National Resources,,,15001,50000,0,O,,
"",Nicholas Fund IRA,,Mutual Fund,15001,50000,0,O,,
"",MPS Virginia Muni Bond Fund,,Mutual Fund,15001,50000,0,O,,
"","Glenn, Feldmann, Dorky, Goodlatte",Unknown,,15001,50000,0,O,,
"",DNP Select Income 401k,,Mutual Fund,15001,50000,0,O,,
"",Mass Mutual Life - Life Insurance,,Insurance policies & Annuities,1001,15000,0,O,,
"",Greenwood Trust Co DE,,"Brokerage, IRA, 401k",1001,15000,0,O,,
"",Eaton Vance Ltd Duratum 401k,,Mutual Fund,1001,15000,0,O,,
"",Davenport Prime Cash Trust IRA,,Cash/Money Market/Savings/Checking,1001,15000,0,O,,
"","Bank of America Roanoke, VA - Savings",,Cash/Money Market/Savings/Checking,1001,15000,0,O,,
"",Merrill Lynch Retr Res IRA,,"Brokerage, IRA, 401k",1,1000,0,O,,
