orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",106 Acres Craig Rd,Real Estate,,250001,500000,0,Y,,
"",555-557 Craig Rd,Real Estate,,50001,100000,0,Y,,
"",455 Craig Road,Real Estate,,50001,100000,0,Y,,
"",1280 West Peachtree St,Real Estate,,50001,100000,0,Y,,
"",Retail Store,Unknown,,15001,50000,0,Y,,
"",GA Teacher Retirement System,,Insurance policies & Annuities,15001,50000,0,Y,,
"",GA Bank & Trust,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",New Perspective Fund,,Mutual Fund,2002,30000,0,Y,,
"",American Funds Growth Fund of America,,Mutual Fund,2002,30000,0,Y,,
"",American Balanced Fund,,Mutual Fund,2002,30000,0,Y,,
"",HSa Vanguard,,Mutual Fund,1001,15000,0,Y,,
