orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000021868,BB&T Corp,Commercial Banks,,100001,250000,0,Y,Y,Y
"",Investors Title,Real Estate,,15001,50000,0,Y,,
"",American Funds Bond Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Washington Mutual Investors Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000028057,Nucor Corp,Steel Production,,1001,15000,0,Y,Y,
"",Medco Health Solution,Unknown,,1001,15000,0,Y,,
"",Income Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fundamental Investors Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",EuroPal Investors Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Balanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Solarbrook Corp,Unknown,,1,1000,0,Y,,
"",Bio-Key Corp,Unknown,,1,1000,0,Y,,
