orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",US Savings Bond,Unknown,Government Bond,50001,100000,0,A,,
"",Transamerica Individual Retirement Annty,Unknown,Insurance policies & Annuities,50001,100000,0,A,,
"","5151 Fleet Rd/Toledo, OH",Real Estate,,50001,100000,0,A,,
"","1854 Harlan Rd/Toledo, OH",Real Estate,,50001,100000,0,A,,
"","1848 Rivard Rd/Toledo, OH",Real Estate,,50001,100000,0,A,,
"",RBS Citizens Bank,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
D000028396,PNC Bank Corp,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",Vanguard Short Term Corporate Bond ETF,Unknown,Mutual Fund,1001,15000,0,A,,
"",Vanguard Short Term Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Suburban Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Key Bank/CD,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",DFA US Core Equity Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",DFA Selectively Hedged Fixed Income,Unknown,Mutual Fund,1001,15000,0,A,,
"",DFA Global Fixed Income 1 yr,Unknown,Mutual Fund,1001,15000,0,A,,
"",DFA 2 Year Global Fixed Income,Unknown,Mutual Fund,1001,15000,0,A,,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Charles Schwab/Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
