orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Fidelity Adv Limited Term Bond,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Small Cap Growth Index,Securities/Invest,Mutual Fund,100002,200000,0,Y,,
"",Fidelity Equity Income Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Balanced Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",TIAA-CREF Money Market Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",TruStone Financial/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",T-C Lifecycle 2025-Prem,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000343,Northwestern Mutual Life,Insurance,Government Bond,15001,50000,0,Y,Y,
"",Guggenheim Investments - Investment Grade Bond,Unknown,,15001,50000,0,Y,,
"",Fidelity Overseas Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Growth Opportunity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Equity Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",CREF Bond Market/The George Washington University,Unknown,Mutual Fund,15001,50000,0,Y,,
"",TIAA-CREF Short-Term Bond Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",TIAA-CREF Bond Index Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",TIAA-CREF International Equity Index Fund,Unknown,Mutual Fund,1001,16000,0,Y,,
"",TIAA-CREF Inflation-Linked Bond Fund,Unknown,Mutual Fund,1001,16000,0,Y,,
"",TIAA-CREF Equity Index Fund,Unknown,Mutual Fund,1001,16000,0,Y,,
"",Wells Fargo/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000029727,Waddell & Reed Advisors Asset Strategy,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
"",US Senate Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Small Cap Value (MSA/T Rowe Price),Unknown,Mutual Fund,1001,15000,0,Y,,
"",Small Cap Growth Stock (MSA/Wellington),Unknown,Mutual Fund,1001,15000,0,Y,,
"",Russell Non-US,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Russell Multi-Style Equity,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mid Cap Value (MSA/Amer Century),Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mid Cap Growth Stock,Unknown,Mutual Fund,1001,15000,0,Y,,
"",International Equity (MSA/Franklin Tmpl),Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
"",Index 500 Stock (MSA)Provider: Northwestern Mutual,Unknown,Mutual Fund,1001,15000,0,Y,,
"",High Yield Bond (MSA)Provider: Northwestern Mutual,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Bank of America/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",TIAA-CREF Real Estate Securities Fund,Real Estate,Mutual Fund,0,2000,0,Y,,
"",TIAA-CREF Emerging Markets Equity Index Fund,Unknown,Mutual Fund,0,2000,0,Y,,
