orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",FRL Miller Qualified Blind Trust,Unknown,"Brokerage, IRA, 401k",5000001,25000000,0,Y,,
"",FRL Bogen Qualified Blind Trust,Unknown,"Brokerage, IRA, 401k",5000001,25000000,0,Y,,
D000031719,Automatic Data Processing Inc,Business Services,,1001002,5015000,0,Y,Y,Y
"",FRL 1990 CRUT Qualified Blind Trust,Unknown,"Brokerage, IRA, 401k",1000001,5000000,0,Y,,
"",444 Realty Co,Real Estate,,2100003,2250002,1,Y,,
D000021792,HSBC Bank,Commercial Banks,Cash/Money Market/Savings/Checking,2001003,2015002,1,Y,,
"",Eagle Pass Assoc,Real Estate,,2000002,2000002,1,Y,,
"",HSBC Bank/Cash,Unknown,Cash/Money Market/Savings/Checking,1100002,1250001,1,Y,,
"",US Treasury Notes,Unknown,Government Bond,1000001,1000001,1,Y,,
D000029284,Sunrise Medical,Pharm/Health Prod,,1000001,1000001,1,Y,Y,
"",Northcastle Trust,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",1000001,1000001,1,Y,,
"",New 40 Worth Co,Real Estate,,1000001,1000001,1,Y,,
"",Mira Loma Assoc,Real Estate,,1000001,1000001,1,Y,,
"",Bear Stearns Moneyfund,Unknown,Cash/Money Market/Savings/Checking,1000001,1000001,1,Y,,
"",Bear Stearns Money Market,Unknown,Cash/Money Market/Savings/Checking,1000001,1000001,1,Y,,
"",Abrams Capital Partners II LP,Securities/Invest,,1000001,1000001,1,Y,,
"",360 Park South Assoc,Real Estate,,1000001,1000001,1,Y,,
"",132 W 125 Co,Real Estate,,1000001,1000001,1,Y,,
"",Value Fund LP,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",US High Yield Bonds,Unknown,Government Bond,500001,1000000,0,Y,,
"",Special Value Opportunities Fund,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Prisma Select Fund II,Securities/Invest,,500001,1000000,0,Y,,
D000000552,Paloma Partners,Securities/Invest,,500001,1000000,0,Y,,
"",National Loan Investors LP,Unknown,,500001,1000000,0,Y,,
"",Manor Vail Condo Assn/Condominium,Real Estate,,500001,1000000,0,Y,,
"",Lcbs Park Avenue Assoc,Real Estate,,500001,1000000,0,Y,,
"",Kuroto Fund LP,Securities/Invest,,500001,1000000,0,Y,,
"",Enterprise Kennedy House,Real Estate,,500001,1000000,0,Y,,
"",Enterprise Angelene LLC,Unknown,,500001,1000000,0,Y,,
"",EDA-PAT LLC,Unknown,,500001,1000000,0,Y,,
"",CRM Partners,Unknown,,500001,1000000,0,Y,,
"",Copano Energy,Oil & Gas,,500001,1000000,0,Y,,
"",Apollo Real Estate Investment Fund IV,Real Estate,,500001,1000000,0,Y,,
"",Apollo European Real Estate Fund LP,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Alerian Opportunity Partners III LP,Unknown,,500001,1000000,0,Y,,
"",Alerian Opportunity Partners II LP,Unknown,,500001,1000000,0,Y,,
"",Yorkshire Towers Co,Real Estate,,250001,500000,0,Y,,
"",Total Energy Leasing/Note Receivable,Electric Utilities,Note/Note Receivable,250001,500000,0,Y,,
"",Tamarack Investment Funds Cash Fund,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Special Value Contn Fund II LLC,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Sire Partners,Unknown,,250001,500000,0,Y,,
"",RCG Longview II LP,Real Estate,,250001,500000,0,Y,,
"",Pond Equities Investment,Unknown,,250001,500000,0,Y,,
"",Navias Maritime Holdings,Unknown,,250001,500000,0,Y,,
"",Enterprise Wexford Assoc,Unknown,,250001,500000,0,Y,,
"",Enterprise Alternative II LLC,Unknown,,250001,500000,0,Y,,
"",Enterprise Alternative 3 Bridge Loan,Unknown,,250001,500000,0,Y,,
"",Drawbridge Special Opportunity Fund,Securities/Invest,Mutual Fund,250001,500000,0,Y,,
"",Chester Apartments,Real Estate,,250001,500000,0,Y,,
"",Bank of America account,Commercial Banks,Cash/Money Market/Savings/Checking,101002,265000,0,Y,,
"",ZS Crossover II LP,Securities/Invest,,100001,250000,0,Y,,
"",WP Fidelco LLC,Unknown,,100001,250000,0,Y,,
"",Telesoft Partners II LP,Unknown,,100001,250000,0,Y,,
"",Sterling American Prop III LP,Securities/Invest,,100001,250000,0,Y,,
"",Sigma Enterprises,Real Estate,,100001,250000,0,Y,,
"","Seavest Properties/Sunrise, FL",Real Estate,,100001,250000,0,Y,,
"","Seavest Properties/Norwalk, CT",Real Estate,,100001,250000,0,Y,,
"",Seavest Properties II LLC,Real Estate,,100001,250000,0,Y,,
"",Riva Capital Partners,Securities/Invest,,100001,250000,0,Y,,
"",Oppenheimer & Co/Cash,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Northern Funding LLC,Unknown,Note/Note Receivable,100001,250000,0,Y,,
"",Mezzi & Cohen,Unknown,Note/Note Receivable,100001,250000,0,Y,,
"",Manhatten Embassy Co,Real Estate,,100001,250000,0,Y,,
"",Longview Funding Co,Unknown,,100001,250000,0,Y,,
"",Lifewise Assoc,Unknown,,100001,250000,0,Y,,
"",Lexington Towers,Real Estate,,100001,250000,0,Y,,
