orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000000168,Southern Co,Electric Utilities,,415004,900000,0,Y,Y,Y
"",Springfield First Community Bank,Unknown,Cash/Money Market/Savings/Checking,251002,515000,0,Y,,
"",Insurance Policies Metlife Insurance Co,Unknown,Insurance policies & Annuities,250001,500000,0,Y,,
"",Kinder Morgan Management,Oil & Gas,,165003,400000,0,Y,,
"",Fidelity Cash Reserve Fund,Unknown,"Brokerage, IRA, 401k",101002,265000,0,Y,,
"","32 Martin Lane/Dallas County, MO",Real Estate,,100001,250000,0,Y,,
"",Pimco CP Oppty,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Omega Healthcare REIT Investors,Real Estate,Mutual Fund,50001,100000,0,Y,,
D000000182,Ford Motor Co,Automotive,,50001,100000,0,Y,Y,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Investments: (SEP) Annaly Capital Mgmt In,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Vanguard Prime Money Market Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Funds Mutual Funds Prime Money Market,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Two Harbors Invt Corp,Unknown,,15001,50000,0,Y,,
"",St Louis County MO Mgt Revenue Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Most 529 Account,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Centurylink Inc,Telephone Utilities,,15001,50000,0,Y,,
D000024672,Centerpoint Energy,Electric Utilities,,15001,50000,0,Y,Y,
"",Bank Deposit Sweep 4143-5730,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",TD Amertrade Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Stock & Securities: Fidelity Investments: Fideli,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Silver Bay Rlty Tr REIT,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Scottrade Apollo Investment Mgmt,Unknown,,1001,15000,0,Y,,
"",Professional Realty Referral,Real Estate,,1001,15000,0,Y,,
D000059464,Omega Healthcare Investors,Unknown,,1001,15000,0,Y,,
"",Bancorp South/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",SCAC Holdings,Unknown,,1,1000,0,Y,,
"",PepperRock Res Corp,Mining,,1,1000,0,Y,,
"",Direxion ETF,Unknown,Mutual Fund,1,1000,0,Y,,
"",Cdex Inc,Pharm/Health Prod,,1,1000,0,Y,,
