orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard Plus,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Quest Opportunity Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Global Allocation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Minnesota State Def Comp Fidelity Div,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Janus Twenty Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Capital Appreciation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Goldman Sachs Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Goldman Sachs Capital Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Davis New York Venture Fund,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
"",Alger Small & Mid Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
