orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Harbor Capital Appreciation Fund,Unknown,Mutual Fund,33005,145000,0,Y,,
"",Oakmark I Fund,Unknown,Mutual Fund,32004,130000,0,Y,,
"",Masters Select International Fund,Unknown,Mutual Fund,32004,130000,0,Y,,
"",Artisan International Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",SSgA Emerging Markets,Unknown,Mutual Fund,17003,80000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,5005,75000,0,Y,,
"",American Beacon Small Cap Value Fund,Unknown,Mutual Fund,4004,60000,0,Y,,
"",Third Avenue Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",TCW Galileo Select Equity,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Sentinel Small Company Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Oakmark International Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Davis New York Venture Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Clipper Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Ariel Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",ABN AMRO Veredus Aggressive Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Explorer Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",PIMCO Low Duration Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Money Market Account,Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",Optimum Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Optimum Small Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Optimum Large Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Optimum Large Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Optimum International,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Optimum Fixed Income,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Enterprise Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Blue Ridge Energy,Oil & Gas,,1001,15000,0,Y,,
"",Artisan Mid Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
