orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","224 9th Street SE/Washington, DC",Real Estate,,1000001,5000000,0,Y,,
"",Mortgage Note Receivable/Robert Randolph,Real Estate,,500001,1000000,0,Y,,
"",Limited Liability Co Investment,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Kingdom Enterprises,Unknown,,450003,1000000,0,Y,,
"",Empowerment Enterprises/Watercraft,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",500001,1000000,0,Y,,
"",First Bank & Trust Co Accounts,Unknown,Cash/Money Market/Savings/Checking,351003,765000,0,Y,,
D000000085,Goldman Sachs,Securities/Invest,,350002,750000,0,Y,Y,Y
"",Goldman Sachs brokerage account,Unknown,"Brokerage, IRA, 401k",265002,550000,0,Y,,
"",Skytop Holdings,Securities/Invest,,250001,500000,0,Y,,
"",Panhandle Land Investment,Real Estate,,250001,500000,0,Y,,
"",Massachusetts G/O Bond,Unknown,Government Bond,250001,500000,0,Y,,
"",Goldman Sachs High Yield Municipal Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"","Chicago, IL Board of Education G/O Bonds",Unknown,Government Bond,250001,500000,0,Y,,
"","5717 88th Street/Lubbock, TX",Real Estate,,200002,500000,0,Y,,
"",Goldman Sachs Brokerage/Cash,Unknown,Cash/Money Market/Savings/Checking,150002,350000,0,Y,,
"",Lubbock National Bank Account,Unknown,Cash/Money Market/Savings/Checking,100003,252000,0,Y,,
"","Winnebago County, IL Rev Bond",Unknown,Government Bond,100001,250000,0,Y,,
"",Texas Transn Commn St Hwy Fund Rev Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Real Estate/2716 85th Lubbock Texas,Real Estate,,100001,250000,0,Y,,
"",New Mexico Finance Authority Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Memphis Tennessee (City Of) G/O Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Massachussets (Commonwealth Of) G/O Bond,Unknown,Government Bond,100001,250000,0,Y,,
"","Lots in the Trails at Regal Park, Variou",Real Estate,,100001,250000,0,Y,,
"",Land/Blk E2 Sec 25 AB 269 TR B SW/R,Real Estate,,100001,250000,0,Y,,
"",HSBC Bank USA accounts,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",City Bank Texas Accounts,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Chandler Ariz G/O Bond,Unknown,Government Bond,100001,250000,0,Y,,
"","2013-2019 S Loop 289/Lubbock, TX",Real Estate,,100001,250000,0,Y,,
"",Lubbock Land Investments I,Unknown,,100002,200000,0,Y,,
"",American Bank of Commerce,Commercial Banks,Cash/Money Market/Savings/Checking,51004,117000,0,Y,,
"",Windrock P,Securities/Invest,,50001,100000,0,Y,,
"","New Richmond, WI G/O Bond",Unknown,Government Bond,50001,100000,0,Y,,
"",Lots/Cooper Creek between 7 & 95,Real Estate,,50001,100000,0,Y,,
"",HCSB Account,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"","Gold, Silver & Bullion",Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Garfield Pitkin & Eagle Cntys G/O Bond,Unknown,Government Bond,50001,100000,0,Y,,
"","Farm Land/Crosby County, TX",Crop Production,,50001,100000,0,Y,,
"",Congressional FCU Account,Unknown,,50001,100000,0,Y,,
"","Cleveland, OH Waterworks Rev Bond",Unknown,Government Bond,50001,100000,0,Y,,
"","Boulder City, NV Rev Bond",Unknown,Government Bond,50001,100000,0,Y,,
"","6 Lots, Previously 30, in the Trails at",Real Estate,,50001,100000,0,Y,,
"",QR Energy,Misc Energy,,15001,50000,0,Y,,
"",Lubbock Land Co,Real Estate,,15001,50000,0,Y,,
"",Lots/624-659 Regal Park,Real Estate,,15001,50000,0,Y,,
"",Limited Partnership Investment in QR Ene,Unknown,,15001,50000,0,Y,,
"",Compass Bank Accounts,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"","8 Lots in Cooper Ridge, Previously 17",Real Estate,,15001,50000,0,Y,,
"",Oil & Gas Royalty Interests,Oil & Gas,,2002,30000,0,Y,,
"",iShares MSCI EAFE Index,Unknown,Mutual Fund,2002,30000,0,Y,,
"",SPDRS S&P 500 ETF Trust,Unknown,Mutual Fund,1001,15000,0,Y,,
"",SPDR S&P 500 ETF,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
"",Mass Mutual whole life insurance policy,Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
"","Lots/2-8 Cooper Stone/Lubbock, TX",Real Estate,,1001,15000,0,Y,,
"",Land/3.747 Acres Blk E2 AK,Real Estate,,1001,15000,0,Y,,
"",Investment in Panhandle Land Development,Unknown,,1001,15000,0,Y,,
"",ING Van Kampen Growth & Income-CIS,Unknown,Mutual Fund,1001,15000,0,Y,,
"",ING Pioneer Mid Cap Value Port-SVC,Unknown,Mutual Fund,1001,15000,0,Y,,
"",ING Intermediate Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",GS High Yield Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Freestone Sa,Unknown,,1001,15000,0,Y,,
"",Cash On Deposit,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"","3 Lots in Cooper Ridge, Various Lots Bet",Real Estate,,1001,15000,0,Y,,
"","3 Lots in Cooper Creek, Various Lots Bet",Real Estate,,1001,15000,0,Y,,
"",First Bank & Trust Lubbock,Unknown,,1,1000,0,Y,,
