orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Rental Income/Tempe, AZ",Real Estate,,100001,250000,0,Y,,
"",UAM FPA Crescent Portfolio,Unknown,Mutual Fund,3003,45000,0,Y,,
"",SPDR Gold Trust ETF,Mining,,3003,45000,0,Y,,
"",Oppenheimer Developing Markets Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,3003,45000,0,Y,Y,Y
"",Ivy Asset Strategy Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",IVA Worldwide Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,3003,45000,0,Y,,
D000022008,Google Inc,Internet,,3003,45000,0,Y,Y,
D000000129,Exxon Mobil,Oil & Gas,,3003,45000,0,Y,Y,Y
D000025483,Devon Energy,Oil & Gas,,3003,45000,0,Y,Y,
D000000015,Chevron Corp,Oil & Gas,,3003,45000,0,Y,Y,Y
D000000149,Bristol-Myers Squibb,Pharm/Health Prod,,3003,45000,0,Y,Y,
"",BHP Billiton Ltd,Mining,,3003,45000,0,Y,,
"",TWO Harbors,Unknown,,2002,30000,0,Y,,
"",Sygenta AG,Unknown,,2002,30000,0,Y,,
D000068756,Suncor Energy,Oil & Gas,,2002,30000,0,Y,,
"",Pimco All Asset Authority,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Permanent Portfolio,Unknown,Mutual Fund,2002,30000,0,Y,,
D000020856,Peabody Energy,Mining,,2002,30000,0,Y,Y,Y
D000000270,Novartis Corp,Pharm/Health Prod,,2002,30000,0,Y,,
D000027988,Newmont Mining,Mining,,2002,30000,0,Y,Y,
"",JP Morgan Strategic Income,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Franklin Templeton Global Bond Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
D000000303,ConocoPhillips,Oil & Gas,,2002,30000,0,Y,Y,
"",Calamos Convertible Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Alger Spectra Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Yamana Gold,Mining,,1001,15000,0,Y,,
"",Walgreen Co,Retail Sales,,1001,15000,0,Y,,
D000000367,Wal-Mart Stores,Retail Sales,,1001,15000,0,Y,Y,Y
"",Vanguard Institutional Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Tocqueville Gold Fund,Mining,,1001,15000,0,Y,,
D000064447,Syngenta AG,Agricultural Svcs,,1001,15000,0,Y,Y,Y
"",Sector Spdr Energy Select Fund,Misc Energy,,1001,15000,0,Y,,
"",PYR Inst Large Cap,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Prudential short term corporate Bond Fnd,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Prudential Jennison Natural Resources,Misc Energy,,1001,15000,0,Y,,
"",Prudential Jennison Health Sciences,Misc Energy,,1001,15000,0,Y,,
"",Prudential Jennison,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Pimco Emerging Market Local Debt,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Pimco Emerging Local,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Pimco All Asset All,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Permanent Portfolio Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Emerging Markets Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Merrill Lynch Bank Deposit Program,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Market Vectors Agribusiness ETF,Crop Production,,1001,15000,0,Y,,
"",Market Vectors Agribusiness,Crop Production,,1001,15000,0,Y,,
"",Market Vector Aggriculture,Crop Production,,1001,15000,0,Y,,
"",Loomis Sayles Strategic Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",JPMorgan Strategic Income Opportunities,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares MSCI CDA Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares Australia,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Franklin Convertible,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Eneplus Resources,Unknown,,1001,15000,0,Y,,
"",Eneplus Corp,Unknown,,1001,15000,0,Y,,
"",Doubleline Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Doubleline Total Return Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Currency Shares Canada,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Currency Shares Australian,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Cenovus Energy,Misc Energy,,1001,15000,0,Y,,
