orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Lot/Columbia, SC",Real Estate,,200002,500000,0,Y,,
"","Condo/Alexandria, VA",Real Estate,,250001,500000,0,Y,,
"","Residence/Dodge City, KS",Real Estate,,100001,250000,0,Y,,
"",Condo/River Towers/Alexandria,Real Estate,,100001,250000,0,Y,,
D000000367,Wal-Mart Stores,Retail Sales,,15001,50000,0,Y,Y,Y
"",Torray Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Monument Title Co,Real Estate,,15001,50000,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,15001,50000,0,Y,Y,Y
D000000067,Altria Group,Tobacco,,15001,50000,0,Y,Y,Y
D000022274,TD Ameritrade,Securities/Invest,,2002,31000,0,Y,Y,
D000022330,Yahoo! Inc,Internet,,2002,30000,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,Y
D000000212,Coca-Cola Co,Food & Beverage,,2002,30000,0,Y,Y,Y
D000000090,Bank of America,Commercial Banks,,2002,30000,0,Y,Y,Y
D000021754,Apple Inc,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,
"",Sprint Nextel,Telecom Svcs,,1001,17000,0,Y,,
D000000281,Halliburton Co,Oil & Gas,,1001,16000,0,Y,Y,Y
D000000284,Wyeth,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
D000019743,Wells Fargo,Commercial Banks,,1001,15000,0,Y,Y,Y
D000021573,Wachovia Corp,Commercial Banks,,1001,15000,0,Y,Y,Y
D000043002,VMware Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000022303,Valero Energy,Oil & Gas,,1001,15000,0,Y,Y,Y
D000029514,Trinity Industries,Railroads,,1001,15000,0,Y,,
"",TD Ameritrade Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000037780,Starbucks Corp,Food & Beverage,,1001,15000,0,Y,Y,
D000022247,Shaw Group,General Contractors,,1001,15000,0,Y,Y,
"",SanDisk Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",Research In Motion,Retail Sales,,1001,15000,0,Y,,
D000068731,Petrochina Co,Oil & Gas,,1001,15000,0,Y,,
D000000422,Oracle Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000022153,NYSE Euronext,Securities/Invest,,1001,15000,0,Y,Y,
"",MSFT stock nas 555,Unknown,,1001,15000,0,Y,,
D000022099,MasterCard Inc,Finance/Credit,,1001,15000,0,Y,Y,
D000000804,Intel Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000716,Hewlett-Packard,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,Y
D000026298,Great Plains Energy,Electric Utilities,,1001,15000,0,Y,Y,Y
D000000125,General Electric,Misc Mfg/Distrib,,1001,15000,0,Y,Y,Y
"",EMC Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",Eaton Vance Tax Managed Diversified Eq,Unknown,,1001,15000,0,Y,,
D000000477,Duke Energy,Electric Utilities,,1001,15000,0,Y,Y,Y
D000000335,Dominion Resources,Electric Utilities,,1001,15000,0,Y,Y,
"",Dell Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000000703,Costco Wholesale,Retail Sales,,1001,15000,0,Y,,
"",China Life Insurance,Insurance,,1001,15000,0,Y,,
"",China Food Co,Food Process/Sales,,1001,15000,0,Y,,
"",China Eastern Airlines,Air Transport,,1001,15000,0,Y,,
D000021899,CBRE Group,Real Estate,,1001,15000,0,Y,Y,
D000000149,Bristol-Myers Squibb,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
D000021878,Boston Scientific Corp,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
D000021873,Blackstone Group,Securities/Invest,,1001,15000,0,Y,Y,Y
D000024328,Best Buy,Retail Sales,,1001,15000,0,Y,Y,Y
D000042551,Aeropostale Inc,Retail Sales,,1001,15000,0,Y,,
D000000470,Washington Mutual,Savings & Loans,,0,1000,0,Y,Y,Y
D000000079,Verizon Communications,Telephone Utilities,,0,1000,0,Y,Y,Y
"",Tyco International,Business Services,,0,1000,0,Y,,
"",Tollgrade Communications,Unknown,,0,1000,0,Y,,
D000000619,Target Corp,Retail Sales,,0,1000,0,Y,Y,
D000030197,Sunrise Senior Living,Hospitals/Nurs Homes,,0,1000,0,Y,,
D000029185,Staples Inc,Retail Sales,,0,1000,0,Y,Y,
"",Sears Holdings,Retail Sales,,0,1000,0,Y,,
D000000156,Qwest Communications,Telecom Svcs,,0,1000,0,Y,Y,
"",PetroQuest Energy,Oil & Gas,,0,1000,0,Y,,
D000000200,PepsiCo Inc,Food & Beverage,,0,1000,0,Y,Y,Y
"",OmniVision Technologies,Unknown,,0,1000,0,Y,,
D000036243,Nordstrom Inc,Retail Sales,,0,1000,0,Y,,
"",NMT stock nasl,Unknown,,0,1000,0,Y,,
D000036078,Nabors Industries,Oil & Gas,,0,1000,0,Y,Y,
"",Motorola Inc,Telecom Svcs,,0,1000,0,Y,,
D000053431,Marvell Technology Group,Electronics Mfg/Eqp,,0,1000,0,Y,,
D000027415,Marsh & McLennan,Insurance,,0,1000,0,Y,Y,
D000027296,Lowe's Companies,Retail Sales,,0,1000,0,Y,Y,
"",Krispy Kreme Doghnuts,Unknown,,0,1000,0,Y,,
D000040346,Kinder Morgan Energy Partners,Oil & Gas,,0,1000,0,Y,,
"",JDS Uniphase,Telecom Svcs,,0,1000,0,Y,,
D000025670,Embarq Corp,Telephone Utilities,,0,1000,0,Y,Y,Y
D000021970,eBay Inc,Internet,,0,1000,0,Y,Y,Y
D000025483,Devon Energy,Oil & Gas,,0,1000,0,Y,Y,
D000048699,Citrix Systems,Internet,,0,1000,0,Y,,
D000000071,Citigroup Inc,Commercial Banks,,0,1000,0,Y,Y,Y
"",CBG,Unknown,,0,1000,0,Y,,
D000000100,Boeing Co,Defense Aerospace,,0,1000,0,Y,Y,
D000047258,Arena Pharmaceuticals,Pharm/Health Prod,,0,1000,0,Y,,
D000000391,Amgen Inc,Pharm/Health Prod,,0,1000,0,Y,Y,Y
D000000123,American International Group,Insurance,,0,1000,0,Y,Y,Y
D000023775,AES Corp,Electric Utilities,,0,1000,0,Y,Y,
D000023765,Advanced Micro Devices,Electronics Mfg/Eqp,,0,1000,0,Y,Y,
