orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","550 Huyler Street/South Hackensack, NJ",Real Estate,,250001,500000,0,Y,,
"","125 Louis Street/South Hackensack, NJ",Real Estate,,130003,350000,0,Y,,
"","80 Wesley Street/South Hackensack, NJ",Unknown,,100001,250000,0,Y,,
"","4E Forest Avenue/Englewood, NJ",Real Estate,,100001,250000,0,Y,,
"","425 Victoria Terrace/Ridgefield, NJ",Real Estate,,100001,250000,0,Y,,
"","40 Ruta Court/South Hackensack, NJ",Real Estate,,100001,250000,0,Y,,
"","30 Ruta Court/South Hackensack, NJ",Real Estate,,100001,250000,0,Y,,
"","250 North Street/Teterboro, NJ",Real Estate,,100001,250000,0,Y,,
"","17793 Southwick Way/Boca Raton, FL",Real Estate,,100001,250000,0,Y,,
"","175 Louis Street/Hackensack, NJ",Unknown,,100001,250000,0,Y,,
"","150 Louis Street/South Hackensack, NJ",Real Estate,,100001,250000,0,Y,,
"",Washington Mutual Bank/CD,Unknown,Cash/Money Market/Savings/Checking,100002,200000,0,Y,,
"",Amtrust Bank/CD,Unknown,Cash/Money Market/Savings/Checking,100002,200000,0,Y,,
"",iShares MSCI Taiwan Index,Unknown,Mutual Fund,65002,150000,0,Y,,
"",Dreyfus NJ Money Market,Unknown,Cash/Money Market/Savings/Checking,32005,131000,0,Y,,
"",First Bank of Puerto Rico/CD,Unknown,Cash/Money Market/Savings/Checking,31003,115000,0,Y,,
"",Vanguard Emerging Markets ETF,Unknown,Mutual Fund,30003,101000,0,Y,,
"",RNN LLC Columbia Bank Account,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",GE Capital/CD,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Fidelity Muncipal Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Capmark Bank/CD,Unknown,Cash/Money Market/Savings/Checking,30002,100000,0,Y,,
"","600 Hollister Road/Teterboro, NJ",Real Estate,,50001,100000,0,Y,,
"","45 Ruta Court/South Hackensack, NJ",Real Estate,,16002,65000,0,Y,,
"","Union County, NJ Improvement Auth Bond",Unknown,Government Bond,15001,50000,0,Y,,
"",Twinks Llc Columbia Bank,Commercial Banks,Unknown,15001,50000,0,Y,,
"",Sustar LLC,Commercial Banks,,15001,50000,0,Y,,
"",Roan Muni Money Market Fund,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Oppenheimer Global Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",New Jersey Transp Trust Fund Auth Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Merrill Lynch Bank USA RASP,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Loomis Sayles Strategic,Unknown,Mutual Fund,15001,50000,0,Y,,
"",BMW Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",BlackRock Equity Trust,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Capital World Grwth/Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Capital Income Builder Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"","538-540 Huyler St/South Hackensack, NJ",Real Estate,,15001,50000,0,Y,,
"",Columbia Bank Account,Unknown,Cash/Money Market/Savings/Checking,3003,45000,0,Y,,
"",Steven R Rothman Irrev Life Insur Trust,Unknown,"Brokerage, IRA, 401k",2002,30000,0,Y,,
"",Twinks Llc Columbia Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Templeton Global Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Partner-Summit/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",National City Bank/CD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Israel St 7th Dev Curr,Unknown,Unknown,1001,15000,0,Y,,
"",Henderson International,Unknown,,1001,15000,0,Y,,
D000000085,Goldman Sachs,Securities/Invest,,1001,15000,0,Y,Y,
"",Fidelity Leveraged Company Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Columbia Marsico 21st Century Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Columbia Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Citibank/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Citibank Retirement Plan,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",CGM Advisor Targeted,Unknown,Mutual Fund,1001,15000,0,Y,,
"",AllianceBernstein International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",AllianceBernstein Global,Unknown,Mutual Fund,1001,15000,0,Y,,
