orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","140 Washington Street/Dover, NH",Real Estate,,2500005,5000000,0,Y,,
"",Route 125 Assoc,Real Estate,,500001,1000000,0,Y,,
"","Land & building/York, ME",Real Estate,,500001,1000000,0,Y,,
"","Land & building Route 108/Madbury, NH",Real Estate,,500001,1000000,0,Y,,
"",JID LLC,Electronics Mfg/Eqp,,500001,1000000,0,Y,,
D000037499,Shaheen & Gordon,Lawyers/Law Firms,,250001,500000,0,Y,,Y
"","Citizens Bank Dover, NH/Money Market Account",Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Shaheen & Gordon PA,Unknown,Note/Note Receivable,100001,250000,0,Y,,
"",903 Central Ave/Dover NH,Real Estate,,100001,250000,0,Y,,
"",115 W Main St/Conway NH,Real Estate,,100001,250000,0,Y,,
"","107 Storrs Street/Concord, NH",Real Estate,,100001,250000,0,Y,,
"",Debt Owed by Kevin Slattery,Unknown,Note/Note Receivable,60004,200000,0,A,,
"",Debt Owed by Ansel Grandmasion,Unknown,Note/Note Receivable,60004,200000,0,A,,
"",Vanguard Inflation-Protected Secs Adm Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Thornburg Value R5 Fund,Unknown,,50001,100000,0,Y,,
"","Real property/Manchester, NH",Real Estate,,50001,100000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",American Funds American Balanced R6,Unknown,Mutual Fund,50001,100000,0,Y,,
"",The Salon LLC,Unknown,,15001,50000,0,Y,,
"",Peoples United Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Debtor: John Rowland ,Unknown,Note/Note Receivable,15001,50000,0,Y,,
"",Atlas-Heritage Title Co,Real Estate,,15001,50000,0,Y,,
"",AMG GW&K Small Cap Core Inv Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"","Citizens Bank Dover, NH/Checking",Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",Red Dot Net Kiosks,Unknown,,1001,15000,0,Y,,
"",PIMCO Commodity Real Return Strat,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Cohen & Steers Institutional Realty,Real Estate,Mutual Fund,1001,15000,0,Y,,
"","Centennial Bank Centennial, CO/Money Market A/C",Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Ultrawave Labs Inc,Unknown,,0,1000,0,Y,,
"",The Salon,Unknown,Note/Note Receivable,0,1000,0,Y,,
"",River Mile LLC,Unknown,,0,1000,0,A,,
"",Logging Hill Road Assoc,Unknown,,0,1000,0,A,,
"",Debtor: Kevin Macmillan ,Unknown,Note/Note Receivable,0,1000,0,Y,,
