orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard TIPS Fund,Unknown,Mutual Fund,550002,1100000,0,Y,,
"","Home with Rental/Washington, DC",Real Estate,,500001,1000000,0,Y,,
"",Vanguard Intermediate CA Tax Exempt Bond,Unknown,Mutual Fund,100001,250000,0,Y,,
"",US Savings Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",California Legislators Retire Pension,Unknown,"Brokerage, IRA, 401k",100001,250000,0,Y,,
"",Water District Municipal Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Joint Powers Authority Muni Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",BeeBee Draw/Hambert Combined Properties,Real Estate,,50001,100000,0,Y,,
D000029798,Wescom Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,Y
"",Union Bank of California,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Dreyfus CA Tax Exempt Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Bank of America account,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Value of CPA Practice Equipment,Misc Finance,,1,1000,0,Y,,
"",Pacoima Credit Union,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
