orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Congressional Federal Credit Union Account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
D000024243,BancorpSouth Bank,Commercial Banks,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
"",Public Employees' Retirement System of Mississippi,Unknown,"Brokerage, IRA, 401k",65002,150000,0,A,,
"",Western National Annuity,Unknown,,15001,50000,0,A,,
"",Lots 44 & 45 West Capitol Street,Real Estate,,15001,50000,0,A,,
"",Liberty National Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",Jackson Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",Dwelling,Real Estate,,15001,50000,0,A,,
"",AXA Equitable Annuity,Unknown,Insurance policies & Annuities,15001,50000,0,A,,
"",Unimproved Property/1 acre,Real Estate,,2002,30000,0,A,,
"",Unimproved Property/2 acres,Real Estate,,1001,15000,0,A,,
"",Trustmark Bank,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
D000022216,Regions Financial,Commercial Banks,,1001,15000,0,A,Y,Y
D000000141,Prudential Financial,Insurance,,1001,15000,0,A,Y,Y
"",Merchants & Planters Bank account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Lot 8/Southeast Annex,Real Estate,,1001,15000,0,A,,
"",Lot 540/Cottage Grove,Real Estate,,1001,15000,0,A,,
"","Lot 31/Less Highway, Block 7",Real Estate,,1001,15000,0,A,,
"",Lot 3/L C Turner Circle,Real Estate,,1001,15000,0,A,,
"",Lot 1/L C Turner Circle,Real Estate,,1001,15000,0,A,,
"",AIG Valic Annuity Insurance,Unknown,Insurance policies & Annuities,1001,15000,0,A,,
"",12 acres unimproved property,Real Estate,,1001,15000,0,A,,
"",5 acres unimproved property,Real Estate,,1,1000,0,A,,
