orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,328200,328200,0,Y,Y,
"",Windsor Hospitality LLC,Lodging/Tourism,,100001,250000,0,Y,,
"",Baytex Energy Corp,Misc Energy,,201204,201204,0,Y,,
D000068157,Pearson PLC,Publishing,,188700,188700,0,Y,Y,
"",Mainstay High-yield Corporate Bond Fund,Unknown,Mutual Fund,184111,184111,0,Y,,
"",Franklin Income Fund,Unknown,Mutual Fund,166668,166668,0,Y,,
"",American High Income Trust Fund,Unknown,Mutual Fund,165272,165272,0,Y,,
"",Mainstay High Yield Corp Bond Fund,Unknown,Mutual Fund,154972,154972,0,Y,,
D000028319,Pepco Holdings,Electric Utilities,,121800,121800,0,Y,Y,
D000000079,Verizon Communications,Telephone Utilities,,120360,120360,0,Y,Y,Y
"",Pioneer High Income Tr,Unknown,Mutual Fund,117410,117410,0,Y,,
"",Calamos Strategic Total Return Fund,Unknown,Mutual Fund,113978,113978,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,111883,111883,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,107085,107085,0,Y,Y,Y
"",Blackrock NY Muni Inc Trust,Unknown,"Brokerage, IRA, 401k",106857,106857,0,Y,,
D000000015,Chevron Corp,Oil & Gas,,106400,106400,0,Y,Y,
"",Kayne Anderson MLP INVT Co,Unknown,,106295,106295,0,Y,,
D000001024,Kraft Foods,Food Process/Sales,,97136,97136,0,Y,Y,
"",B&G Foods,Food Process/Sales,,96280,96280,0,Y,,
"",Blackrock New York Mun Income Tr II,Unknown,Mutual Fund,94470,94470,0,Y,,
"",Market Vectors Etf Tr Agribusiness Etf,Crop Production,,89585,89585,0,Y,,
D000000103,JPMorgan Chase & Co,Commercial Banks,,86782,86782,0,Y,Y,Y
D000040346,Kinder Morgan Energy Partners,Oil & Gas,,84950,84950,0,Y,,
"",Macquarie/ftgi/utl D&i Infrast Fund,Unknown,Mutual Fund,83839,83839,0,Y,,
D000064283,Total SA,Oil & Gas,,81776,81776,0,Y,,
"",iShares S&p Global Materials Index,Unknown,Mutual Fund,80080,80080,0,Y,,
"",Bonavista Energy Corp,Misc Energy,,77143,77143,0,Y,,
"",Nuveen Ny Inv Qual Muni,Unknown,Mutual Fund,77050,77050,0,Y,,
"",Aes Trust Iii,Securities/Invest,,73635,73635,0,Y,,
D000000100,Boeing Co,Defense Aerospace,,73350,73350,0,Y,Y,
"",Invesco Van Kampen Bond Fund,Unknown,Mutual Fund,70014,70014,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,68058,68058,0,Y,Y,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,66710,66710,0,Y,Y,
"",Columbia Seligman Communications & Inf,Unknown,Mutual Fund,66117,66117,0,Y,,
"",ConAgra Foods,Food Process/Sales,,66000,66000,0,Y,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,65580,65580,0,Y,Y,
"",Blackrock Global Emerging Markets Fund,Unknown,Mutual Fund,63789,63789,0,Y,,
"",Windstream Corp,Telecom Svcs,,58700,58700,0,Y,,
