orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000029194,State Street Corp,Securities/Invest,,465004,1050000,0,Y,Y,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,451005,965000,0,Y,Y,Y
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,296005,665000,0,Y,Y,Y
"",TAB Products PTY,Unknown,,250001,500000,0,Y,,
"",TAB Products Europa,Unknown,,250001,500000,0,Y,,
"",TAB Products Canada,Unknown,,250001,500000,0,Y,,
"",TAB Products,Unknown,,250001,500000,0,Y,,
"",T Acquisition Ltd,Unknown,,250001,500000,0,Y,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,250001,500000,0,Y,Y,Y
D000066608,America Movil,Telecom Svcs,,250001,500000,0,Y,Y,
D000000090,Bank of America,Commercial Banks,,165003,400000,0,Y,Y,
D000037414,Schlumberger Ltd,Oil & Gas,,130003,350000,0,Y,,
D000025483,Devon Energy,Oil & Gas,,130003,350000,0,Y,Y,
D000000125,General Electric,Misc Mfg/Distrib,,115002,300000,0,Y,Y,Y
D000021573,Wachovia Corp,Commercial Banks,,100001,250000,0,Y,Y,
"",Sheldon Whitehouse Family Trust/Cash,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
D000022110,Medtronic Inc,Pharm/Health Prod,,100001,250000,0,Y,Y,
D000000386,Johnson & Johnson,Pharm/Health Prod,,100001,250000,0,Y,Y,
D000024513,Bunge Ltd,Crop Production,,100001,250000,0,Y,Y,
D000000195,BNSF Railway,Railroads,,100001,250000,0,Y,Y,
D000024095,Apache Corp,Oil & Gas,,100001,250000,0,Y,,
D000000209,United Technologies,Defense Aerospace,,100002,200000,0,Y,Y,
D000000419,Home Depot,Retail Sales,,100002,200000,0,Y,Y,
D000032702,Coach Inc,Misc Mfg/Distrib,,65002,150000,0,Y,,
"",Thornburg International Value Fund,Unknown,Mutual Fund,33005,145000,0,Y,,
D000000480,Williams Companies,Oil & Gas,,31003,115000,0,Y,Y,
"",Ssga Institutional Treasury Money Market,Unknown,Cash/Money Market/Savings/Checking,31003,115000,0,Y,,
D000043002,VMware Inc,Electronics Mfg/Eqp,,50001,100000,0,Y,,
"",Steel Dynamics,Steel Production,,50001,100000,0,Y,,
"",Seaview Mezzanine Fund,Unknown,,50001,100000,0,Y,,
D000000200,PepsiCo Inc,Food & Beverage,,50001,100000,0,Y,Y,
"",Patterson Companies,Pharm/Health Prod,,50001,100000,0,Y,,
"",Hansen Natural,Food & Beverage,,50001,100000,0,Y,,
"",Garmin Ltd,Unknown,,50001,100000,0,Y,,
"",Freedom Wireless,Telecom Svcs,,50001,100000,0,Y,,
D000021991,Franklin Resources,Securities/Invest,,50001,100000,0,Y,,
"",Energy Select Sector Spdr,Misc Energy,,30002,100000,0,Y,,
"",Dolby Laboratories,Electronics Mfg/Eqp,,50001,100000,0,Y,,
"",CVS/Caremark Corp,Retail Sales,,30002,100000,0,Y,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
D000000076,AT&T Inc,Telephone Utilities,,50001,100000,0,Y,Y,Y
D000000126,AFLAC Inc,Insurance,,50001,100000,0,Y,Y,Y
"",Amdocs Ltd,Telecom Svcs,,17003,80000,0,Y,,
D000029636,Varian Medical Systems,Pharm/Health Prod,,16002,65000,0,Y,Y,
D000029185,Staples Inc,Retail Sales,,16002,65000,0,Y,Y,
D000061666,Hercules Offshore,Oil & Gas,,16002,65000,0,Y,,
D000000596,Genentech Inc,Pharm/Health Prod,,16002,65000,0,Y,,
D000025929,Fresenius Medical Care,Misc Health,,16002,65000,0,Y,Y,
D000000786,Accenture,Business Services,,16002,65000,0,Y,Y,
D000058827,Zimmer Holdings,Pharm/Health Prod,,15001,50000,0,Y,Y,
"",Western Asset Core Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000470,Washington Mutual,Savings & Loans,,15001,50000,0,Y,Y,
D000000128,Walt Disney Co,TV/Movies/Music,,15001,50000,0,Y,Y,Y
D000029389,Teva Pharmaceutical Industries,Pharm/Health Prod,,15001,50000,0,Y,Y,
"",Stip 3: US Treasury & Agency,Unknown,Government Bond,15001,50000,0,Y,,
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,15001,50000,0,Y,Y,
D000000720,IBM Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",Dodge & Cox Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000033033,Danaher Corp,Misc Mfg/Distrib,,15001,50000,0,Y,Y,
D000025049,Commerce Bancorp,Commercial Banks,,15001,50000,0,Y,,
D000059096,Cognizant Technology Solutions,Electronics Mfg/Eqp,,15001,50000,0,Y,,
D000021908,Chesapeake Energy,Oil & Gas,,15001,50000,0,Y,Y,
D000064575,Cameco Corp,Electric Utilities,,15001,50000,0,Y,,
D000022907,AllianceBernstein LP,Securities/Invest,,15001,50000,0,Y,,
D000000383,Abbott Laboratories,Pharm/Health Prod,,15001,50000,0,Y,Y,
"",T Rowe Price New Asia Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",Baron Partners Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",Watts Industries,Unknown,,2002,30000,0,Y,,
