orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Rental Property/Alexandria, VA",Real Estate,,350002,750000,0,Y,,
"","Rental Property/Tupelo, MS",Real Estate,,100001,250000,0,Y,,
D000028580,Renasant Corp,Unknown,,16002,65000,0,Y,,
D000000367,Wal-Mart Stores,Retail Sales,,15001,50000,0,Y,Y,
D000000301,Torchmark Corp,Insurance,Note/Note Receivable,15001,50000,0,Y,Y,
"",Putnam Fund for Growth & Income  Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000148,CSX Corp,Railroads,,15001,50000,0,Y,Y,
D000024513,Bunge Ltd,Crop Production,Note/Note Receivable,15001,50000,0,Y,Y,
"",Ginnie Mae Securities,Real Estate,Note/Note Receivable,3003,47000,0,Y,,
"",JPMorgan Prime Money Market Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",US Treasury Bonds,Unknown,Government Bond,1001,15000,0,Y,,
D000028475,Protective Life Corp,Insurance,,1001,15000,0,Y,Y,
D000067115,Petroleo Brasileiro SA,Oil & Gas,,1001,15000,0,Y,,
D000000275,Merck & Co,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",American Funds Investment Co of America,Unknown,Mutual Fund,1001,15000,0,Y,,
D000023883,Amazon.com,Internet,,1001,15000,0,Y,Y,
"",AllianceBern Global Thematic Gr C Fund,Unknown,,1001,15000,0,Y,,
"",ABAG FIN AUTH FO NONPROFIT CORPS CA INSD CTFS PART,Unknown,Mutual Fund,1001,15000,0,Y,,
