orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Residence at 5817 W 100th Terrace,Real Estate,,100001,250000,0,Y,,
"",Capitol Federal Savings,Savings & Loans,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",TIAA Cref T-C Lifecycle 2040-Rtmt,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Kansas Public Employees Retirement System,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
"",United Community Bank of Western Kentucky,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",TRP Retirement 2040,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",SPTN 500 Index,Unknown,Mutual Fund,1001,15000,0,Y,,
D000045416,Commerce Bank,Commercial Banks,Unknown,1001,15000,0,Y,,
D000024686,Cerner Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,Y
"",American Century Ultra Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
