orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Bachmann Farm Family LP,Crop Production,,500001,1000000,0,Y,,
"",Bachmann Clinic Properties,Health Professionals,,500001,1000000,0,Y,,
"",Bachmann & Assoc,Health Professionals,,100001,250000,0,Y,,
"",Capital World Growth Inc,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Small Cap World Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Growth Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fundamental Investors Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Europacific Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds New World Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds New Economy Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Balanced Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Wells Fargo Bank NA,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000470,Washington Mutual,Savings & Loans,Mutual Fund,1001,15000,0,Y,,
"",US Savings Bond,Unknown,Government Bond,1001,15000,0,Y,,
D000043471,TCF Bank,Savings & Loans,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Income Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Advisors Gold Fund,Mining,,1001,15000,0,Y,,
"",Fidelity ADV Utilities,Unknown,,1001,15000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Bond Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
